DictionaryName,LocationName,ItemName,LocationArea,ItemSubType,SpoilerLocation,SpoilerItem
HearthLedge,Hearth Ledge,,Overworld,Item,HearthLedge,
HearthBackdoor,Hearth Backdoor,,Overworld,Item,HearthBackdoor,
SchoolTop,School Top,,Overworld,Item,SchoolTop,
SchoolGardenLeft,School Garden Left,,Overworld,Item,SchoolGardenLeft,
SchoolGardenMiddle,School Garden Middle,,Overworld,Item,SchoolGardenMiddle,
SchoolGardenRight,School Garden Right,,Overworld,Item,SchoolGardenRight,
SchoolGardenHeartPiece,School Garden Heart Piece,,Overworld,Item,SchoolGardenHeartPiece,
TownDiggingTop,Town Digging Top,,Overworld,Item,TownDiggingTop,
TownDiggingRight,Town Digging Right,,Overworld,Item,TownDiggingRight,
TownDiggingLeft,Town Digging Left,,Overworld,Item,TownDiggingLeft,
BakeryAttic,Bakery Attic,,Overworld,Item,BakeryAttic,
StockWellAttic,Stock Well Attic,,Overworld,Item,StockWellAttic,
SimulationChest,Simulation Chest,,Overworld,Item,SimulationChest,
RemShoeShop,Rem Shoe Shop,,Overworld,Item,RemShoeShop,
Shop80Item,Shop80 Item,Wallet,Overworld,Item,Shop80Item,Wallet
Shop300Item,Shop300 Item,Boomerang,Overworld,Item,Shop300Item,Boomerang
Shop600Item,Shop600 Item,Large Quiver,Overworld,Item,Shop600Item,LargeQuiver
ShopDogfoodItem,Shop Dogfood Item,Dog Food Bottle,Overworld,Item,ShopDogfoodItem,DogFoodBottle
CarlovReward,Carlov Reward,Carlov Medal,Overworld,Item,CarlovReward,CarlovMedal
FigurineHouseLeft,Figurine House Left,,Overworld,Item,FigurineHouseLeft,
FigurineHouseMiddle,Figurine House Middle,,Overworld,Item,FigurineHouseMiddle,
FigurineHouseRight,Figurine House Right,,Overworld,Item,FigurineHouseRight,
FigurineHouseHeartPiece,Figurine House Heart Piece,,Overworld,Item,FigurineHouseHeartPiece,
JullietaBook,Jullieta Book,Hyrulean Bestiary,Overworld,Item,JullietaBook,HyruleanBestiary
WrightAtticBook,Wright Attic Book,Picori Legend,Overworld,Item,WrightAtticBook,PicoriLegend
FountainBig,Fountain Big,,Overworld,Item,FountainBig,
FountainSmall,Fountain Small,,Overworld,Item,FountainSmall,
FountainHeartPiece,Fountain Heart Piece,,Overworld,Item,FountainHeartPiece,
LibraryMinish,Library Minish,,Overworld,Item,LibraryMinish,
CuccoMinigame,Cucco Minigame,,Overworld,Item,CuccoMinigame,
TownBell,Town Bell,Piece Of Heart,Overworld,Item,TownBell,PieceOfHeart
FlipsCaveBig,Flips Cave Big,,Overworld,Item,FlipsCaveBig,
FlipsCaveSmall,Flips Cave Small,,Overworld,Item,FlipsCaveSmall,
TingleTrophyItem,Tingle Trophy Item,Tingle Trophy,Overworld,Item,TingleTrophyItem,TingleTrophy
HillsKeeseCave,Hills Keese Cave,,Overworld,Item,HillsKeeseCave,
AboveHPHole,Above H P Hole,,Hylia North,Item,AboveHPHole,
LonLonPot,Lon Lon Pot,,East Field,Item,LonLonPot,
LonLonCave,Lon Lon Cave,,Hylia North,Item,LonLonCave,
LonLonCaveSecret,Lon Lon Cave Secret,,Overworld,Item,LonLonCaveSecret,
LonLonHeartPiece,Lon Lon Heart Piece,,Hylia North,Item,LonLonHeartPiece,
MinishRupeeFairy,Minish Rupee Fairy,,East Field,Item,MinishRupeeFairy,
TrilbyBombCave,Trilby Bomb Cave,,West Field,Item,TrilbyBombCave,
TrilbyMoleCaveLeft,Trilby Mole Cave Left,,West Field,Item,TrilbyMoleCaveLeft,
TrilbyMoleCaveRight,Trilby Mole Cave Right,,West Field,Item,TrilbyMoleCaveRight,
BottleScrub,Bottle Scrub,Bottle,West Field,Item,BottleScrub,Bottle1
JabberNut,Jabber Nut,Jabber Nut,Minish Woods,Item,JabberNut,JabberNut
BelariBombs,Belari Bombs,,Minish Woods,Item,BelariBombs,
MinishMiddleFlipperHole,Minish Middle Flipper Hole,,Minish Woods,Item,MinishMiddleFlipperHole,
MinishRightFlipperHole,Minish Right Flipper Hole,,Minish Woods,Item,MinishRightFlipperHole,
MinishLeftFlipperHole,Minish Left Flipper Hole,,Minish Woods,Item,MinishLeftFlipperHole,
MinishLeftFlipperHoleHeartPiece,Minish Left Flipper Hole Heart Piece,,Minish Woods,Item,MinishLeftFlipperHoleHeartPiece,
MinishLikeLikeDiggingCaveLeft,Minish Like Like Digging Cave Left,,Minish Woods,Item,MinishLikeLikeDiggingCaveLeft,
MinishLikeLikeDiggingCaveRight,Minish Like Like Digging Cave Right,,Minish Woods,Item,MinishLikeLikeDiggingCaveRight,
MinishNorthHole,Minish North Hole,,Hylia South,Item,MinishNorthHole,
MinishWitchHut,Minish Witch Hut,,Minish Woods,Item,MinishWitchHut,
MinishHeartPieceTop,Minish Heart Piece Top,,Minish Woods,Item,MinishHeartPieceTop,
MinishHeartPieceBottom,Minish Heart Piece Bottom,,Minish Woods,Item,MinishHeartPieceBottom,
MinishVillageHeartPiece,Minish Village Heart Piece,,Minish Woods,Item,MinishVillageHeartPiece,
CrenelVineHole,Crenel Vine Hole,,Lower Crenel,Item,CrenelVineHole,
CrenelMinishHouse,Crenel Minish House,,Lower Crenel,Item,CrenelMinishHouse,
CrenelCaveDownstairs,Crenel Cave Downstairs,,Crenel,Item,CrenelCaveDownstairs,
CrenelHeartCaveLeft,Crenel Heart Cave Left,,Lower Crenel,Item,CrenelHeartCaveLeft,
CrenelHeartCaveRight,Crenel Heart Cave Right,,Lower Crenel,Item,CrenelHeartCaveRight,
CrenelHeartCaveHeartPiece,Crenel Heart Cave Heart Piece,,Lower Crenel,Item,CrenelHeartCaveHeartPiece,
CrenelFairyHeartPiece,Crenel Fairy Heart Piece,,Crenel,Item,CrenelFairyHeartPiece,
CrenelGripScrub,Crenel Grip Scrub,Grip Ring,Crenel,Item,CrenelGripScrub,GripRing
GraybladeLeft,Grayblade Left,,Crenel,Item,GraybladeLeft,
GraybladeRight,Grayblade Right,,Crenel,Item,GraybladeRight,
GraybladeHeartPiece,Grayblade Heart Piece,,Crenel,Item,GraybladeHeartPiece,
GraybladeScroll,Grayblade Scroll,Roll Attack,Overworld,Item,GraybladeScroll,RollAttack
CrenelBombFairy,Crenel Bomb Fairy,,Crenel,Item,CrenelBombFairy,
CrenelDigCaveHeartPiece,Crenel Dig Cave Heart Piece,,Crenel,Item,CrenelDigCaveHeartPiece,
CrenelBlockChest,Crenel Block Chest,,Crenel,Item,CrenelBlockChest,
Melari,Melari,Smith Sword,Overworld,Item,Melari,FourSword|SmithSword
WildsSouthCave,Wilds South Cave,Kinstone X. Yellow Totem Prong,Wilds,Item,WildsSouthCave,KinstoneX.YellowTotemProng
WildsDarknutCave,Wilds Darknut Cave,Kinstone X. Yellow Totem Prong,Wilds,Item,WildsDarknutCave,KinstoneX.YellowTotemProng
WildsDekuCaveRight,Wilds Deku Cave Right,Kinstone X. Yellow Totem Prong,Wilds,Item,WildsDekuCaveRight,KinstoneX.YellowTotemProng
WildsMulldozerHole,Wilds Mulldozer Hole,Bow,Wilds,Item,WildsMulldozerHole,Bow
WildsDiggingCaveLeft,Wilds Digging Cave Left,,Wilds,Item,WildsDiggingCaveLeft,
WildsDiggingCaveRight,Wilds Digging Cave Right,,Wilds,Item,WildsDiggingCaveRight,
WildsTopChest,Wilds Top Chest,,Wilds,Item,WildsTopChest,
WildsTopRightCaveHeartPiece,Wilds Top Right Cave Heart Piece,,Wilds,Item,WildsTopRightCaveHeartPiece,
SwiftbladeTheFirstHeartPiece,Swiftblade The First Heart Piece,,Wilds,Item,SwiftbladeTheFirstHeartPiece,
SwiftbladeTheFirstScroll,Swiftblade The First Scroll,Great Spin,Overworld,Item,SwiftbladeTheFirstScroll,GreatSpin
RuinsBombCave,Ruins Bomb Cave,,Wilds,Item,RuinsBombCave,
RuinsMinishHome,Ruins Minish Home,,Wilds,Item,RuinsMinishHome,
RuinsMinishCaveHeartPiece,Ruins Minish Cave Heart Piece,,Wilds,Item,RuinsMinishCaveHeartPiece,
RuinsArmosKillLeft,Ruins Armos Kill Left,,Wilds,Item,RuinsArmosKillLeft,
RuinsArmosKillRight,Ruins Armos Kill Right,,Wilds,Item,RuinsArmosKillRight,
StockwellDog,Stockwell Dog,Bottle,Hylia North,Item,StockwellDog,Bottle2
HyliaNorthMinishHole,Hylia North Minish Hole,,Hylia North,Item,HyliaNorthMinishHole,
HyliaMayorCabin,Hylia Mayor Cabin,Mask History,Hylia South,Item,HyliaMayorCabin,MaskHistory
WitchDiggingCave,Witch Digging Cave,,Hylia South,Item,WitchDiggingCave,
HyliaSunkenHeartPiece,Hylia Sunken Heart Piece,,Hylia North,Item,HyliaSunkenHeartPiece,
HyliaBottomHeartPiece,Hylia Bottom Heart Piece,,Hylia North,Item,HyliaBottomHeartPiece,
WavebladeHeartPiece,Waveblade Heart Piece,,Hylia North,Item,WavebladeHeartPiece,
WavebladeScroll,Waveblade Scroll,Peril Beam,Overworld,Item,WavebladeScroll,PerilBeam
HyliaCapeCaveTopRight,Hylia Cape Cave Top Right,,Treasure Cave,Item,HyliaCapeCaveTopRight,
HyliaCapeCaveBottomLeft,Hylia Cape Cave Bottom Left,,Treasure Cave,Item,HyliaCapeCaveBottomLeft,
HyliaCapeCaveTopLeft,Hylia Cape Cave Top Left,,Treasure Cave,Item,HyliaCapeCaveTopLeft,
HyliaCapeCaveTopMiddle,Hylia Cape Cave Top Middle,,Treasure Cave,Item,HyliaCapeCaveTopMiddle,
HyliaCapeCaveEntrance,Hylia Cape Cave Entrance,,Treasure Cave,Item,HyliaCapeCaveEntrance,
HyliaCapeCaveBottomRight,Hylia Cape Cave Bottom Right,,Treasure Cave,Item,HyliaCapeCaveBottomRight,
HyliaCapeCaveBottomMiddle,Hylia Cape Cave Bottom Middle,,Treasure Cave,Item,HyliaCapeCaveBottomMiddle,
HyliaPostCapeCaveHeartPiece,Hylia Post Cape Cave Heart Piece,,Treasure Cave,Item,HyliaPostCapeCaveHeartPiece,
HyliaPreCapeCaveHeartPiece,Hylia Pre Cape Cave Heart Piece,,Hylia North,Item,HyliaPreCapeCaveHeartPiece,
ArrowFairy,Arrow Fairy,,Overworld,Item,ArrowFairy,
DampeKey,Dampe Key,,Valley,Item,DampeKey,
RoyalValleyGraveHeartPiece,Royal Valley Grave Heart Piece,,Valley,Item,RoyalValleyGraveHeartPiece,
RoyalValleyLostWoodsChest,Royal Valley Lost Woods Chest,,Valley,Item,RoyalValleyLostWoodsChest,
CryptGibdoLeft:Crypt,Crypt Gibdo Left,Bombs5,Crypt,Item,CryptGibdoLeft,Bombs5
CryptGibdoRight:Crypt,Crypt Gibdo Right,Small Key` R C_ S E T`,Crypt,Item,CryptGibdoRight,SmallKey`RC_SET`
CryptLeft:Crypt,Crypt Left,Small Key` R C_ S E T`,Crypt,Item,CryptLeft,SmallKey`RC_SET`
CryptRight:Crypt,Crypt Right,Small Key` R C_ S E T`,Crypt,Item,CryptRight,SmallKey`RC_SET`
KingGift:`ELEMENT_DUNGEON`,King Gift,Kinstone X. Yellow Crown,Valley,Item,KingGift,KinstoneX.YellowCrown
FallsBehindWall,Falls Behind Wall,,Falls North,Item,FallsBehindWall,
FallsCliff,Falls Cliff,,Falls North,Item,FallsCliff,
FallsTopCaveBomb,Falls Top Cave Bomb,,Falls North,Item,FallsTopCaveBomb,
FallsTopCaveFree,Falls Top Cave Free,,Falls North,Item,FallsTopCaveFree,
FallsUpperHeartPiece,Falls Upper Heart Piece,,Overworld,Item,FallsUpperHeartPiece,
FallsLowerCaveLeft,Falls Lower Cave Left,,Falls South,Item,FallsLowerCaveLeft,
FallsLowerCaveRight,Falls Lower Cave Right,,Falls South,Item,FallsLowerCaveRight,
FallsLowerHeartPiece,Falls Lower Heart Piece,,Falls South,Item,FallsLowerHeartPiece,
CloudsFreeChest,Clouds Free Chest,Kinstone X. Yellow Tornado Prong,Clouds,Item,CloudsFreeChest,KinstoneX.YellowTornadoProng
CloudsNorthKill,Clouds North Kill,Kinstone X. Yellow Tornado Prong,Clouds,Item,CloudsNorthKill,KinstoneX.YellowTornadoProng
CloudsSouthKill,Clouds South Kill,Kinstone X. Yellow Tornado Prong,Clouds,Item,CloudsSouthKill,KinstoneX.YellowTornadoProng
CloudsSouthMiddle,Clouds South Middle,Kinstone X. Yellow Tornado Prong,Clouds,Item,CloudsSouthMiddle,KinstoneX.YellowTornadoProng
CloudsWestBottom,Clouds West Bottom,Kinstone X. Yellow Tornado Prong,Clouds,Item,CloudsWestBottom,KinstoneX.YellowTornadoProng
CloudsWestLeft,Clouds West Left,,Clouds,Item,CloudsWestLeft,
CloudsWestRight,Clouds West Right,,Clouds,Item,CloudsWestRight,
CloudsSouthLeft,Clouds South Left,,Clouds,Item,CloudsSouthLeft,
CloudsSouthRight,Clouds South Right,,Clouds,Item,CloudsSouthRight,
TowerBottomLeft,Tower Bottom Left,,Upper Clouds,Item,TowerBottomLeft,
TowerBottomRight,Tower Bottom Right,,Upper Clouds,Item,TowerBottomRight,
TowerF2,Tower F2,,Upper Clouds,Item,TowerF2,
GregalOne,Gregal One,,Upper Clouds,Item,GregalOne,
GregalTwo,Gregal Two,Bow,Upper Clouds,Item,GregalTwo,Bow
TowerRightBed,Tower Right Bed,,Upper Clouds,Item,TowerRightBed,
TowerMiddleBed,Tower Middle Bed,,Upper Clouds,Item,TowerMiddleBed,
TowerLeftBed,Tower Left Bed,,Upper Clouds,Item,TowerLeftBed,
TowerTopLeft,Tower Top Left,,Upper Clouds,Item,TowerTopLeft,
TowerTopRight,Tower Top Right,,Upper Clouds,Item,TowerTopRight,
DeepwoodWiggler:Deepwood,Deepwood Wiggler,,Deepwood,Item,DeepwoodWiggler,
DeepwoodPostWigglerHeartPiece:Deepwood,Deepwood Post Wiggler Heart Piece,,Deepwood,Item,DeepwoodPostWigglerHeartPiece,
DeepwoodPreWigglerLeft:Deepwood,Deepwood Pre Wiggler Left,,Deepwood,Item,DeepwoodPreWigglerLeft,
DeepwoodPreWigglerRight:Deepwood,Deepwood Pre Wiggler Right,,Deepwood,Item,DeepwoodPreWigglerRight,
DeepwoodPreWigglerHeartPiece:Deepwood,Deepwood Pre Wiggler Heart Piece,,Deepwood,Item,DeepwoodPreWigglerHeartPiece,
DeepwoodPreCompass:Deepwood,Deepwood Pre Compass,,Deepwood,Item,DeepwoodPreCompass,
DeepwoodMulldozers:Deepwood,Deepwood Mulldozers,Small Key` D W S_ S E T`,Deepwood,Item,DeepwoodMulldozers,SmallKey`DWS_SET`
DeepwoodStatueRoom:Deepwood,Deepwood Statue Room,Small Key` D W S_ S E T`,Deepwood,Item,DeepwoodStatueRoom,SmallKey`DWS_SET`
DeepwoodWestWing:Deepwood,Deepwood West Wing,Compass` D W S_ S E T`,Deepwood,Item,DeepwoodWestWing,Compass`DWS_SET`
DeepwoodPreBarrel:Deepwood,Deepwood Pre Barrel,,Deepwood,Item,DeepwoodPreBarrel,
DeepwoodSlugTorches:Deepwood,Deepwood Slug Torches,Small Key` D W S_ S E T`,Deepwood,Item,DeepwoodSlugTorches,SmallKey`DWS_SET`
DeepwoodBasementNorth:Deepwood,Deepwood Basement North,Big Key` D W S_ S E T`,Deepwood,Item,DeepwoodBasementNorth,BigKey`DWS_SET`
DeepwoodBasementSwitch:Deepwood,Deepwood Basement Switch,Small Key` D W S_ S E T`,Deepwood,Item,DeepwoodBasementSwitch,SmallKey`DWS_SET`
DeepwoodBasementEast:Deepwood,Deepwood Basement East,Dungeon Map` D W S_ S E T`,Deepwood,Item,DeepwoodBasementEast,DungeonMap`DWS_SET`
DeepwoodUpstairsChest:Deepwood,Deepwood Upstairs Chest,,Deepwood,Item,DeepwoodUpstairsChest,
DeepwoodBossItem:Deepwood,Deepwood Boss Item,Heart Container,Overworld,Item,DeepwoodBossItem,HeartContainer
DeepwoodPrize:`ELEMENT_DUNGEON`,Deepwood Prize,,Overworld,Item,DeepwoodPrize,
CoFFlippedCart:FlameCave,Co F Flipped Cart,Small Key` C O F_ S E T`,Co F,Item,CoFFlippedCart,SmallKey`COF_SET`
CoFHeartPiece:FlameCave,Co F Heart Piece,,Co F,Item,CoFHeartPiece,
CoFChuPit:FlameCave,Co F Chu Pit,,Co F,Item,CoFChuPit,
CoFPillBugsPillarChest:FlameCave,Co F Pill Bugs Pillar Chest,Small Key` C O F_ S E T`,Co F,Item,CoFPillBugsPillarChest,SmallKey`COF_SET`
CoFPillBugsHoleChest:FlameCave,Co F Pill Bugs Hole Chest,,Co F,Item,CoFPillBugsHoleChest,
CoFSoutheastSmall:FlameCave,Co F Southeast Small,,Co F,Item,CoFSoutheastSmall,
CoFSoutheastBig:FlameCave,Co F Southeast Big,Compass` C O F_ S E T`,Co F,Item,CoFSoutheastBig,Compass`COF_SET`
CoFBasementTop:FlameCave,Co F Basement Top,,Co F,Item,CoFBasementTop,
CoFBasementBottom:FlameCave,Co F Basement Bottom,,Co F,Item,CoFBasementBottom,
CoFBlades:FlameCave,Co F Blades,,Co F,Item,CoFBlades,
CoFSpinies:FlameCave,Co F Spinies,Dungeon Map` C O F_ S E T`,Co F,Item,CoFSpinies,DungeonMap`COF_SET`
CoFBasementLavaLeft:FlameCave,Co F Basement Lava Left,,Co F,Item,CoFBasementLavaLeft,
CoFBasementLavaRight:FlameCave,Co F Basement Lava Right,,Co F,Item,CoFBasementLavaRight,
CoFBasementLavaBig:FlameCave,Co F Basement Lava Big,Big Key` C O F_ S E T`,Co F,Item,CoFBasementLavaBig,BigKey`COF_SET`
CoFBossItem:FlameCave,Co F Boss Item,Heart Container,Overworld,Item,CoFBossItem,HeartContainer
CoFPrize:`ELEMENT_DUNGEON`,Co F Prize,,Overworld,Item,CoFPrize,
FortressEntrance:Fortress,Fortress Entrance,,Fortress,Item,FortressEntrance,
FortressHeartPiece:Fortress,Fortress Heart Piece,,Fortress,Item,FortressHeartPiece,
FortressOutsideF2Left:Fortress,Fortress Outside F2 Left,,Fortress,Item,FortressOutsideF2Left,
FortressOutsideF2Middle:Fortress,Fortress Outside F2 Middle,,Fortress,Item,FortressOutsideF2Middle,
FortressOutsideF2Right:Fortress,Fortress Outside F2 Right,,Fortress,Item,FortressOutsideF2Right,
FortressOutsideF3Left:Fortress,Fortress Outside F3 Left,,Fortress,Item,FortressOutsideF3Left,
FortressOutsideF3Right:Fortress,Fortress Outside F3 Right,,Fortress,Item,FortressOutsideF3Right,
FortressOutsideBombWallBigChest:Fortress,Fortress Outside Bomb Wall Big Chest,,Fortress,Item,FortressOutsideBombWallBigChest,
FortressOutsideBombWallSmallChest:Fortress,Fortress Outside Bomb Wall Small Chest,,Overworld,Item,FortressOutsideBombWallSmallChest,
FortressOutsideMinishHole:Fortress,Fortress Outside Minish Hole,Small Key` F O W_ S E T`,Fortress,Item,FortressOutsideMinishHole,SmallKey`FOW_SET`
FortressRightDrop:Fortress,Fortress Right Drop,Small Key` F O W_ S E T`,Fortress,Item,FortressRightDrop,SmallKey`FOW_SET`
FortressLeftDrop:Fortress,Fortress Left Drop,Small Key` F O W_ S E T`,Fortress,Item,FortressLeftDrop,SmallKey`FOW_SET`
FortressClonePuzzle:Fortress,Fortress Clone Puzzle,Small Key` F O W_ S E T`,Fortress,Item,FortressClonePuzzle,SmallKey`FOW_SET`
FortressEyegoreKill:Fortress,Fortress Eyegore Kill,Dungeon Map` F O W_ S E T`,Fortress,Item,FortressEyegoreKill,DungeonMap`FOW_SET`
FortressPedestal:Fortress,Fortress Pedestal,Compass` F O W_ S E T`,Fortress,Item,FortressPedestal,Compass`FOW_SET`
FortressSkullFall:Fortress,Fortress Skull Fall,Big Key` F O W_ S E T`,Fortress,Item,FortressSkullFall,BigKey`FOW_SET`
FortressSkullRoomLeft:Fortress,Fortress Skull Room Left,,Fortress,Item,FortressSkullRoomLeft,
FortressSkullRoomRight:Fortress,Fortress Skull Room Right,,Fortress,Item,FortressSkullRoomRight,
FortressWizrobes:Fortress,Fortress Wizrobes,,Fortress,Item,FortressWizrobes,
FortressBossItem:Fortress,Fortress Boss Item,Heart Container,Overworld,Item,FortressBossItem,HeartContainer
FortressPrize:`ELEMENT_DUNGEON`,Fortress Prize,,Overworld,Item,FortressPrize,
DropletsMulldozers:Droplets,Droplets Mulldozers,Small Key` T O D_ S E T`,Droplets,Item,DropletsMulldozers,SmallKey`TOD_SET`
DropletsWaterPot:Droplets,Droplets Water Pot,Small Key` T O D_ S E T`,Droplets,Item,DropletsWaterPot,SmallKey`TOD_SET`
DropletsSecondIceblock:Droplets,Droplets Second Iceblock,Small Key` T O D_ S E T`,Droplets,Item,DropletsSecondIceblock,SmallKey`TOD_SET`
DropletsFirstIceblock:Droplets,Droplets First Iceblock,Big Key` T O D_ S E T`,Droplets,Item,DropletsFirstIceblock,BigKey`TOD_SET`
DropletsEastFirst:Droplets,Droplets East First,,Droplets,Item,DropletsEastFirst,
DropletsIceMaze:Droplets,Droplets Ice Maze,,Droplets,Item,DropletsIceMaze,
DropletsOverhang:Droplets,Droplets Overhang,Dungeon Map` T O D_ S E T`,Droplets,Item,DropletsOverhang,DungeonMap`TOD_SET`
DropletsBluChu:Droplets,Droplets Blu Chu,Flame Lantern,Droplets,Item,DropletsBluChu,LanternOff
DropletsBasement:Droplets,Droplets Basement,Small Key` T O D_ S E T`,Droplets,Item,DropletsBasement,SmallKey`TOD_SET`
DropletsFrozenIcePlain:Droplets,Droplets Frozen Ice Plain,,Droplets,Item,DropletsFrozenIcePlain,
DropletsFreeIcePlain:Droplets,Droplets Free Ice Plain,,Droplets,Item,DropletsFreeIcePlain,
DropletsDarkMazeRight:Droplets,Droplets Dark Maze Right,,Droplets,Item,DropletsDarkMazeRight,
DropletsDarkMazeLeft:Droplets,Droplets Dark Maze Left,,Droplets,Item,DropletsDarkMazeLeft,
DropletsDarkMazeMiddle:Droplets,Droplets Dark Maze Middle,,Droplets,Item,DropletsDarkMazeMiddle,
DropletsPostTwinFrozen:Droplets,Droplets Post Twin Frozen,,Droplets,Item,DropletsPostTwinFrozen,
DropletsPreviewFrozen:Droplets,Droplets Preview Frozen,,Droplets,Item,DropletsPreviewFrozen,
DropletsIceWiggler:Droplets,Droplets Ice Wiggler,Compass` T O D_ S E T`,Droplets,Item,DropletsIceWiggler,Compass`TOD_SET`
DropletsBossItem:Droplets,Droplets Boss Item,Heart Container,Overworld,Item,DropletsBossItem,HeartContainer
DropletsPrize:`ELEMENT_DUNGEON`,Droplets Prize,,Overworld,Item,DropletsPrize,
PalaceWizrobeKill:Palace,Palace Wizrobe Kill,,Palace,Item,PalaceWizrobeKill,
PalaceFirstGrate:Palace,Palace First Grate,,Palace,Item,PalaceFirstGrate,
PalaceBraceletPuzzleKey:Palace,Palace Bracelet Puzzle Key,Small Key` P O W_ S E T`,Palace,Item,PalaceBraceletPuzzleKey,SmallKey`POW_SET`
PalaceWideGap:Palace,Palace Wide Gap,,Palace,Item,PalaceWideGap,
PalaceBallAndChainSoldiers:Palace,Palace Ball And Chain Soldiers,Small Key` P O W_ S E T`,Palace,Item,PalaceBallAndChainSoldiers,SmallKey`POW_SET`
PalaceFanLoop:Palace,Palace Fan Loop,Small Key` P O W_ S E T`,Palace,Item,PalaceFanLoop,SmallKey`POW_SET`
PalacePreBigDoor:Palace,Palace Pre Big Door,Big Key` P O W_ S E T`,Palace,Item,PalacePreBigDoor,BigKey`POW_SET`
PalaceDarkBig:Palace,Palace Dark Big,Compass` P O W_ S E T`,Palace,Item,PalaceDarkBig,Compass`POW_SET`
PalaceDarkSmall:Palace,Palace Dark Small,Small Key` P O W_ S E T`,Palace,Item,PalaceDarkSmall,SmallKey`POW_SET`
PalaceManyRollers:Palace,Palace Many Rollers,Small Key` P O W_ S E T`,Palace,Item,PalaceManyRollers,SmallKey`POW_SET`
PalaceTwinWizrobes:Palace,Palace Twin Wizrobes,,Palace,Item,PalaceTwinWizrobes,
PalaceFirerobeTrio:Palace,Palace Firerobe Trio,Dungeon Map` P O W_ S E T`,Palace,Item,PalaceFirerobeTrio,DungeonMap`POW_SET`
PalaceHeartPiece:Palace,Palace Heart Piece,,Palace,Item,PalaceHeartPiece,
PalaceSwitchHit:Palace,Palace Switch Hit,,Palace,Item,PalaceSwitchHit,
PalacePreBoss:Palace,Palace Pre Boss,Small Key` P O W_ S E T`,Palace,Item,PalacePreBoss,SmallKey`POW_SET`
PalaceBlockMaze:Palace,Palace Block Maze,,Palace,Item,PalaceBlockMaze,
PalaceDetour:Palace,Palace Detour,,Palace,Item,PalaceDetour,
PalaceBossItem:Palace,Palace Boss Item,Heart Container,Overworld,Item,PalaceBossItem,HeartContainer
PalacePrize:`ELEMENT_DUNGEON`,Palace Prize,,Overworld,Item,PalacePrize,
CastleKing:DHC,Castle King,Rupee200,D H C,Item,CastleKing,Rupee200
CastleBasement:DHC,Castle Basement,Dungeon Map` D H C_ S E T`,D H C,Item,CastleBasement,DungeonMap`DHC_SET`
CastleClones:DHC,Castle Clones,Small Key` D H C_ S E T`,D H C,Item,CastleClones,SmallKey`DHC_SET`
CastlePostThrone:DHC,Castle Post Throne,Compass` D H C_ S E T`,D H C,Item,CastlePostThrone,Compass`DHC_SET`
CastleTopLeftTower:DHC,Castle Top Left Tower,Small Key` D H C_ S E T`,Overworld,Item,CastleTopLeftTower,SmallKey`DHC_SET`
CastleTopRightTower:DHC,Castle Top Right Tower,Small Key` D H C_ S E T`,Overworld,Item,CastleTopRightTower,SmallKey`DHC_SET`
CastleLowerLeftTower:DHC,Castle Lower Left Tower,Small Key` D H C_ S E T`,Overworld,Item,CastleLowerLeftTower,SmallKey`DHC_SET`
