DictionaryName,LocationName,ItemName,LocationArea,ItemSubType,SpoilerLocation,SpoilerItem,EntrancePair
Dampe Bottle,Dampe Digging,Empty Bottle,Ikana Graveyard,Item,Dampe Digging,Empty Bottle,
Chateau Bottle,Madame Aroma in Bar,Bottle with Chateau Romani,East Clock Town,Item,Madame Aroma in Bar,Bottle with Chateau Romani,
Bombers' Notebook,Bombers' Hide and Seek,Bombers' Notebook,North Clock Town,Item,Bombers' Hide and Seek,Bombers' Notebook,
Razor Sword,Mountain Smithy Day 1,Razor Sword,Mountain Village,Item,Mountain Smithy Day 1,Razor Sword,
Gilded Sword,Mountain Smithy Day 2,Gilded Sword,Mountain Village,Item,Mountain Smithy Day 2,Gilded Sword,
Mirror Shield,Mirror Shield Chest,Mirror Shield,Beneath the Well,Item,Mirror Shield Chest,Mirror Shield,
Town Archery Quiver (40),Town Archery #1,Large Quiver,East Clock Town,Item,Town Archery #1,Large Quiver,
Swamp Archery Quiver (50),Swamp Archery #1,Largest Quiver,Road to Southern Swamp,Item,Swamp Archery #1,Largest Quiver,
Town Bomb Bag (30),Big Bomb Bag Purchase,Big Bomb Bag,West Clock Town,Item,Big Bomb Bag Purchase,Big Bomb Bag,
Mountain Bomb Bag (40),Biggest Bomb Bag Purchase,Biggest Bomb Bag,Goron Village,Item,Biggest Bomb Bag Purchase,Biggest Bomb Bag,
Town Wallet (200),Bank Reward #1,Adult Wallet,West Clock Town,Item,Bank Reward #1,Adult Wallet,
Ocean Wallet (500),Ocean Spider House Day 1 Reward,Giant Wallet,Great Bay Coast,Item,Ocean Spider House Day 1 Reward,Giant Wallet,
Moon's Tear,Astronomy Telescope,Moon's Tear,Termina Field,Item,Astronomy Telescope,Moon's Tear,
Land Title Deed,Clock Town Scrub Trade,Land Title Deed,South Clock Town,Item,Clock Town Scrub Trade,Land Title Deed,
Swamp Title Deed,Swamp Scrub Trade,Swamp Title Deed,Southern Swamp,Item,Swamp Scrub Trade,Swamp Title Deed,
Mountain Title Deed,Mountain Scrub Trade,Mountain Title Deed,Goron Village,Item,Mountain Scrub Trade,Mountain Title Deed,
Ocean Title Deed,Ocean Scrub Trade,Ocean Title Deed,Zora Hall,Item,Ocean Scrub Trade,Ocean Title Deed,
Room Key,Inn Reservation,Room Key,Stock Pot Inn,Item,Inn Reservation,Room Key,
Letter to Kafei,Midnight Meeting,Letter to Kafei,Stock Pot Inn,Item,Midnight Meeting,Letter to Kafei,
Pendant of Memories,Kafei,Pendant of Memories,Laundry Pool,Item,Kafei,Pendant of Memories,
Letter to Mama,Curiosity Shop Man #2,Letter to Mama,Laundry Pool,Item,Curiosity Shop Man #2,Letter to Mama,
Mayor Dotour HP,Mayor,Piece of Heart,East Clock Town,Item,Mayor,Piece of Heart,
Postman HP,Postman's Game,Piece of Heart,West Clock Town,Item,Postman's Game,Piece of Heart,
Rosa Sisters HP,Rosa Sisters,Piece of Heart,West Clock Town,Item,Rosa Sisters,Piece of Heart,
??? HP,Toilet Hand,Piece of Heart,Stock Pot Inn,Item,Toilet Hand,Piece of Heart,
Grandma Short Story HP,Grandma Short Story,Piece of Heart,Stock Pot Inn,Item,Grandma Short Story,Piece of Heart,
Grandma Long Story HP,Grandma Long Story,Piece of Heart,Stock Pot Inn,Item,Grandma Long Story,Piece of Heart,
Keaton Quiz HP,Keaton Quiz,Piece of Heart,North Clock Town,Item,Keaton Quiz,Piece of Heart,
Deku Playground HP,Deku Playground Three Days,Piece of Heart,North Clock Town,Item,Deku Playground Three Days,Piece of Heart,
Town Archery HP,Town Archery #2,Piece of Heart,East Clock Town,Item,Town Archery #2,Piece of Heart,
Honey and Darling HP,Honey and Darling Three Days,Piece of Heart,East Clock Town,Item,Honey and Darling Three Days,Piece of Heart,
Swordsman's School HP,Swordsman's School,Piece of Heart,West Clock Town,Item,Swordsman's School,Piece of Heart,
Postbox HP,Postbox,Piece of Heart,South Clock Town,Item,Postbox,Piece of Heart,
Termina Field Gossips HP,Gossip Stones,Piece of Heart,Termina Field,Item,Gossip Stones,Piece of Heart,
Termina Field Business Scrub HP,Business Scrub Purchase,Piece of Heart,Termina Field,Item,Business Scrub Purchase,Piece of Heart,
Swamp Archery HP,Swamp Archery #2,Piece of Heart,Road to Southern Swamp,Item,Swamp Archery #2,Piece of Heart,
Pictograph Contest HP,Pictograph Contest Winner,Piece of Heart,Southern Swamp,Item,Pictograph Contest Winner,Piece of Heart,
Boat Archery HP,Boat Archery,Piece of Heart,Southern Swamp,Item,Boat Archery,Piece of Heart,
Frog Choir HP,Frog Choir,Piece of Heart,Mountain Village,Item,Frog Choir,Piece of Heart,
Beaver Race HP,Beaver Race #2,Piece of Heart,Zora Cape,Item,Beaver Race #2,Piece of Heart,
Seahorse HP,Seahorses,Piece of Heart,Pinnacle Rock,Item,Seahorses,Piece of Heart,
Fisherman Game HP,Fisherman Game,Piece of Heart,Great Bay Coast,Item,Fisherman Game,Piece of Heart,
Evan HP,Evan,Piece of Heart,Zora Hall,Item,Evan,Piece of Heart,
Dog Race HP,Dog Race,Piece of Heart,Romani Ranch,Item,Dog Race,Piece of Heart,
Poe Hut HP,Poe Hut,Piece of Heart,Ikana Canyon,Item,Poe Hut,Piece of Heart,
Treasure Chest Game HP,Treasure Chest Game Goron,Piece of Heart,East Clock Town,Item,Treasure Chest Game Goron,Piece of Heart,
Peahat Grotto HP,Peahat Grotto,Piece of Heart,Termina Field,Item,Peahat Grotto,Piece of Heart,
Dodongo Grotto HP,Dodongo Grotto,Piece of Heart,Termina Field,Item,Dodongo Grotto,Piece of Heart,
Woodfall Chest HP,Woodfall Bridge Chest,Piece of Heart,Woodfall,Item,Woodfall Bridge Chest,Piece of Heart,
Twin Islands Chest HP,Twin Islands Underwater Ramp Chest,Piece of Heart,Twin Islands,Item,Twin Islands Underwater Ramp Chest,Piece of Heart,
Ocean Spider House HP,Ocean Spider House Chest,Piece of Heart,Great Bay Coast,Item,Ocean Spider House Chest,Piece of Heart,
Graveyard Iron Knuckle HP,Iron Knuckle Chest,Piece of Heart,Ikana Graveyard,Item,Iron Knuckle Chest,Piece of Heart,
Postman's Hat,Postman's Freedom Reward,Postman's Hat,East Clock Town,Item,Postman's Freedom Reward,Postman's Hat,
All Night Mask,All Night Mask Purchase,All Night Mask,West Clock Town,Item,All Night Mask Purchase,All Night Mask,
Blast Mask,Old Lady,Blast Mask,North Clock Town,Item,Old Lady,Blast Mask,
Stone Mask,Invisible Soldier,Stone Mask,Road to Ikana,Item,Invisible Soldier,Stone Mask,
Great Fairy's Mask,Town Great Fairy,Great Fairy's Mask,North Clock Town,Item,Town Great Fairy,Great Fairy's Mask,
Keaton Mask,Curiosity Shop Man #1,Keaton Mask,Laundry Pool,Item,Curiosity Shop Man #1,Keaton Mask,
Bremen Mask,Guru Guru,Bremen Mask,Laundry Pool,Item,Guru Guru,Bremen Mask,
Bunny Hood,Grog,Bunny Hood,Romani Ranch,Item,Grog,Bunny Hood,
Don Gero's Mask,Hungry Goron,Don Gero's Mask,Mountain Village,Item,Hungry Goron,Don Gero's Mask,
Mask of Scents,Butler,Mask of Scents,Deku Palace,Item,Butler,Mask of Scents,
Romani Mask,Cremia,Romani's Mask,Romani Ranch,Item,Cremia,Romani's Mask,
Circus Leader's Mask,Gorman,Circus Leader's Mask,East Clock Town,Item,Gorman,Circus Leader's Mask,
Kafei's Mask,Madame Aroma in Office,Kafei's Mask,East Clock Town,Item,Madame Aroma in Office,Kafei's Mask,
Couple's Mask,Anju and Kafei,Couple's Mask,Stock Pot Inn,Item,Anju and Kafei,Couple's Mask,
Mask of Truth,Swamp Spider House Reward,Mask of Truth,Southern Swamp,Item,Swamp Spider House Reward,Mask of Truth,
Kamaro's Mask,Kamaro,Kamaro's Mask,Termina Field,Item,Kamaro,Kamaro's Mask,
Gibdo Mask,Pamela's Father,Gibdo Mask,Ikana Canyon,Item,Pamela's Father,Gibdo Mask,
Garo Mask,Gorman Bros Race,Garo's Mask,Milk Road,Item,Gorman Bros Race,Garo's Mask,
Captain's Hat,Captain Keeta's Chest,Captain's Hat,Ikana Graveyard,Item,Captain Keeta's Chest,Captain's Hat,
Giant's Mask,Giant's Mask Chest,Giant's Mask,Inverted Stone Tower Temple,Item,Giant's Mask Chest,Giant's Mask,
Goron Mask,Darmani,Goron Mask,Mountain Village,Item,Darmani,Goron Mask,
Zora Mask,Mikau,Zora Mask,Great Bay Coast,Item,Mikau,Zora Mask,
Song of Healing,Starting Song,Song of Healing,Misc,Item,Starting Song,Song of Healing,
Song of Soaring,Swamp Music Statue,Song of Soaring,Southern Swamp,Item,Swamp Music Statue,Song of Soaring,
Epona's Song,Romani's Game,Epona's Song,Romani Ranch,Item,Romani's Game,Epona's Song,
Song of Storms,Day 1 Grave Tablet,Song of Storms,Ikana Graveyard,Item,Day 1 Grave Tablet,Song of Storms,
Sonata of Awakening,Imprisoned Monkey,Sonata of Awakening,Deku Palace,Item,Imprisoned Monkey,Sonata of Awakening,
Goron Lullaby,Baby Goron,Goron Lullaby,Goron Village,Item,Baby Goron,Goron Lullaby,
New Wave Bossa Nova,Baby Zoras,New Wave Bossa Nova,Great Bay Coast,Item,Baby Zoras,New Wave Bossa Nova,
Elegy of Emptiness,Ikana King,Elegy of Emptiness,Ikana Castle,Item,Ikana King,Elegy of Emptiness,
Oath to Order,Boss Blue Warp,Oath to Order,Misc,Item,Boss Blue Warp,Oath to Order,
Woodfall Map,Woodfall Map Chest,Woodfall Map,Woodfall Temple,Item,Woodfall Map Chest,Woodfall Map,
Woodfall Compass,Woodfall Compass Chest,Woodfall Compass,Woodfall Temple,Item,Woodfall Compass Chest,Woodfall Compass,
Woodfall Boss Key,Woodfall Boss Key Chest,Woodfall Boss Key,Woodfall Temple,Item,Woodfall Boss Key Chest,Woodfall Boss Key,
Woodfall Key 1,Woodfall Small Key Chest,Woodfall Small Key,Woodfall Temple,Item,Woodfall Small Key Chest,Woodfall Small Key,
Snowhead Map,Snowhead Map Chest,Snowhead Map,Snowhead Temple,Item,Snowhead Map Chest,Snowhead Map,
Snowhead Compass,Snowhead Compass Chest,Snowhead Compass,Snowhead Temple,Item,Snowhead Compass Chest,Snowhead Compass,
Snowhead Boss Key,Snowhead Boss Key Chest,Snowhead Boss Key,Snowhead Temple,Item,Snowhead Boss Key Chest,Snowhead Boss Key,
Snowhead Key 1 - block room,Snowhead Block Room Chest,Snowhead Small Key,Snowhead Temple,Item,Snowhead Block Room Chest,Snowhead Small Key,
Snowhead Key 2 - icicle room,Snowhead Icicle Room Chest,Snowhead Small Key,Snowhead Temple,Item,Snowhead Icicle Room Chest,Snowhead Small Key,
Snowhead Key 3 - bridge room,Snowhead Bridge Room Chest,Snowhead Small Key,Snowhead Temple,Item,Snowhead Bridge Room Chest,Snowhead Small Key,
Great Bay Map,Great Bay Map Chest,Great Bay Map,Great Bay Temple,Item,Great Bay Map Chest,Great Bay Map,
Great Bay Compass,Great Bay Compass Chest,Great Bay Compass,Great Bay Temple,Item,Great Bay Compass Chest,Great Bay Compass,
Great Bay Boss Key,Great Bay Boss Key Chest,Great Bay Boss Key,Great Bay Temple,Item,Great Bay Boss Key Chest,Great Bay Boss Key,
Great Bay Key 1,Great Bay Small Key Chest,Great Bay Small Key,Great Bay Temple,Item,Great Bay Small Key Chest,Great Bay Small Key,
Stone Tower Map,Stone Tower Map Chest,Stone Tower Map,Stone Tower Temple,Item,Stone Tower Map Chest,Stone Tower Map,
Stone Tower Compass,Stone Tower Compass Chest,Stone Tower Compass,Stone Tower Temple,Item,Stone Tower Compass Chest,Stone Tower Compass,
Stone Tower Boss Key,Stone Tower Boss Key Chest,Stone Tower Boss Key,Inverted Stone Tower Temple,Item,Stone Tower Boss Key Chest,Stone Tower Boss Key,
Stone Tower Key 1 - armos room,Stone Tower Armor Room Chest,Stone Tower Small Key,Stone Tower Temple,Item,Stone Tower Armor Room Chest,Stone Tower Small Key,
Stone Tower Key 2 - eyegore room,Stone Tower Eyegore Room Chest,Stone Tower Small Key,Stone Tower Temple,Item,Stone Tower Eyegore Room Chest,Stone Tower Small Key,
Stone Tower Key 3 - updraft room,Stone Tower Updraft Room Chest,Stone Tower Small Key,Inverted Stone Tower Temple,Item,Stone Tower Updraft Room Chest,Stone Tower Small Key,
Stone Tower Key 4 - death armos maze,Stone Tower Death Armos Maze Chest,Stone Tower Small Key,Inverted Stone Tower Temple,Item,Stone Tower Death Armos Maze Chest,Stone Tower Small Key,
Trading Post Red Potion,Trading Post Red Potion,Red Potion,West Clock Town,Item,Trading Post Red Potion,Red Potion,
Trading Post Green Potion,Trading Post Green Potion,Green Potion,West Clock Town,Item,Trading Post Green Potion,Green Potion,
Trading Post Shield,Trading Post Hero's Shield,Hero's Shield,West Clock Town,Item,Trading Post Hero's Shield,Hero's Shield,
Trading Post Fairy,Trading Post Fairy,Fairy,West Clock Town,Item,Trading Post Fairy,Fairy,
Trading Post Stick,Trading Post Deku Stick,Deku Stick,West Clock Town,Item,Trading Post Deku Stick,Deku Stick,
Trading Post Arrow 30,Trading Post 30 Arrows,30 Arrows,West Clock Town,Item,Trading Post 30 Arrows,30 Arrows,
Trading Post Nut 10,Trading Post 10 Deku Nuts,10 Deku Nuts,West Clock Town,Item,Trading Post 10 Deku Nuts,10 Deku Nuts,
Trading Post Arrow 50,Trading Post 50 Arrows,50 Arrows,West Clock Town,Item,Trading Post 50 Arrows,50 Arrows,
Witch Shop Blue Potion,Witch Shop Blue Potion,Blue Potion,Southern Swamp,Item,Witch Shop Blue Potion,Blue Potion,
Witch Shop Red Potion,Witch Shop Red Potion,Red Potion,Southern Swamp,Item,Witch Shop Red Potion,Red Potion,
Witch Shop Green Potion,Witch Shop Green Potion,Green Potion,Southern Swamp,Item,Witch Shop Green Potion,Green Potion,
Bomb Shop Bomb 10,Bomb Shop 10 Bombs,10 Bombs,West Clock Town,Item,Bomb Shop 10 Bombs,10 Bombs,
Bomb Shop Chu 10,Bomb Shop 10 Bombchu,10 Bombchu,West Clock Town,Item,Bomb Shop 10 Bombchu,10 Bombchu,
Goron Shop Bomb 10,Goron Shop 10 Bombs,10 Bombs,Goron Village,Item,Goron Shop 10 Bombs,10 Bombs,
Goron Shop Arrow 10,Goron Shop 10 Arrows,10 Arrows,Goron Village,Item,Goron Shop 10 Arrows,10 Arrows,
Goron Shop Red Potion,Goron Shop Red Potion,Red Potion,Goron Village,Item,Goron Shop Red Potion,Red Potion,
Zora Shop Shield,Zora Shop Hero's Shield,Hero's Shield,Zora Hall,Item,Zora Shop Hero's Shield,Hero's Shield,
Zora Shop Arrow 10,Zora Shop 10 Arrows,10 Arrows,Zora Hall,Item,Zora Shop 10 Arrows,10 Arrows,
Zora Shop Red Potion,Zora Shop Red Potion,Red Potion,Zora Hall,Item,Zora Shop Red Potion,Red Potion,
Bottle: Fairy,Bottle: Fairy,Bottle: Fairy,Bottle Catch,Bottle,Bottle: Fairy,Bottle: Fairy,
Bottle: Deku Princess,Bottle: Deku Princess,Bottle: Deku Princess,Bottle Catch,Bottle,Bottle: Deku Princess,Bottle: Deku Princess,
Bottle: Fish,Bottle: Fish,Bottle: Fish,Bottle Catch,Bottle,Bottle: Fish,Bottle: Fish,
Bottle: Bug,Bottle: Bug,Bottle: Bug,Bottle Catch,Bottle,Bottle: Bug,Bottle: Bug,
Bottle: Poe,Bottle: Poe,Bottle: Poe,Bottle Catch,Bottle,Bottle: Poe,Bottle: Poe,
Bottle: Big Poe,Bottle: Big Poe,Bottle: Big Poe,Bottle Catch,Bottle,Bottle: Big Poe,Bottle: Big Poe,
Bottle: Spring Water,Bottle: Spring Water,Bottle: Spring Water,Bottle Catch,Bottle,Bottle: Spring Water,Bottle: Spring Water,
Bottle: Hot Spring Water,Bottle: Hot Spring Water,Bottle: Hot Spring Water,Bottle Catch,Bottle,Bottle: Hot Spring Water,Bottle: Hot Spring Water,
Bottle: Zora Egg,Bottle: Zora Egg,Bottle: Zora Egg,Bottle Catch,Bottle,Bottle: Zora Egg,Bottle: Zora Egg,
Bottle: Mushroom,Bottle: Mushroom,Bottle: Mushroom,Bottle Catch,Bottle,Bottle: Mushroom,Bottle: Mushroom,
Lens Cave 20r,Lens Cave Invisible Chest,Red Rupee,Goron Village,Item,Lens Cave Invisible Chest,Red Rupee,
Lens Cave 50r,Lens Cave Rock Chest,Purple Rupee,Goron Village,Item,Lens Cave Rock Chest,Purple Rupee,
Bean Grotto 20r,Bean Grotto,Red Rupee,Deku Palace,Item,Bean Grotto,Red Rupee,
HSW Grotto 20r,Hot Spring Water Grotto,Red Rupee,Twin Islands,Item,Hot Spring Water Grotto,Red Rupee,
Graveyard Bad Bats,Day 1 Grave Bats,Purple Rupee,Ikana Graveyard,Item,Day 1 Grave Bats,Purple Rupee,
Ikana Grotto,Secret Shrine Grotto,5 Bombchu,Ikana Canyon,Item,Secret Shrine Grotto,5 Bombchu,
PF 20r Lower,Pirates' Fortress Interior Lower Chest,Red Rupee,Pirates' Fortress Interior,Item,Pirates' Fortress Interior Lower Chest,Red Rupee,
PF 20r Upper,Pirates' Fortress Interior Upper Chest,Red Rupee,Pirates' Fortress Interior,Item,Pirates' Fortress Interior Upper Chest,Red Rupee,
PF Tank 20r,Pirates' Fortress Interior Tank Chest,Red Rupee,Pirates' Fortress Interior,Item,Pirates' Fortress Interior Tank Chest,Red Rupee,
PF Guard Room 100r,Pirates' Fortress Interior Guard Room Chest,Silver Rupee,Pirates' Fortress Interior,Item,Pirates' Fortress Interior Guard Room Chest,Silver Rupee,
PF HP Room 20r,Pirates' Fortress Cage Room Shallow Chest,Red Rupee,Pirates' Fortress Sewer,Item,Pirates' Fortress Cage Room Shallow Chest,Red Rupee,
PF HP Room 5r,Pirates' Fortress Cage Room Deep Chest,Blue Rupee,Pirates' Fortress Sewer,Item,Pirates' Fortress Cage Room Deep Chest,Blue Rupee,
PF Maze 20r,Pirates' Fortress Maze Chest,Red Rupee,Pirates' Fortress Sewer,Item,Pirates' Fortress Maze Chest,Red Rupee,
PR 20r (1),Pinnacle Rock Lower Chest,Red Rupee,Pinnacle Rock,Item,Pinnacle Rock Lower Chest,Red Rupee,
PR 20r (2),Pinnacle Rock Upper Chest,Red Rupee,Pinnacle Rock,Item,Pinnacle Rock Upper Chest,Red Rupee,
Bombers' Hideout 100r,Bombers' Hideout Chest,Silver Rupee,East Clock Town,Item,Bombers' Hideout Chest,Silver Rupee,
Termina Bombchu Grotto,Termina Field Pillar Grotto,Bombchu,Termina Field,Item,Termina Field Pillar Grotto,Bombchu,
Termina 20r Grotto,Termina Field Grass Grotto,Red Rupee,Termina Field,Item,Termina Field Grass Grotto,Red Rupee,
Termina Underwater 20r,Termina Field Underwater Chest,Red Rupee,Termina Field,Item,Termina Field Underwater Chest,Red Rupee,
Termina Grass 20r,Termina Field Grass Chest,Red Rupee,Termina Field,Item,Termina Field Grass Chest,Red Rupee,
Termina Stump 20r,Termina Field Stump Chest,Red Rupee,Termina Field,Item,Termina Field Stump Chest,Red Rupee,
Great Bay Coast Grotto,Great Bay Coast Grotto,Red Rupee,Great Bay Coast,Item,Great Bay Coast Grotto,Red Rupee,
Great Bay Cape Ledge (1),Zora Cape Ledge Without Tree Chest,Red Rupee,Zora Cape,Item,Zora Cape Ledge Without Tree Chest,Red Rupee,
Great Bay Cape Ledge (2),Zora Cape Ledge With Tree Chest,Red Rupee,Zora Cape,Item,Zora Cape Ledge With Tree Chest,Red Rupee,
Great Bay Cape Grotto,Zora Cape Grotto,Bombchu,Zora Cape,Item,Zora Cape Grotto,Bombchu,
Great Bay Cape Underwater,Zora Cape Underwater Chest,Purple Rupee,Zora Cape,Item,Zora Cape Underwater Chest,Purple Rupee,
PF Exterior 20r (1),Pirates' Fortress Exterior Log Chest,Red Rupee,Pirates' Fortress Exterior,Item,Pirates' Fortress Exterior Log Chest,Red Rupee,
PF Exterior 20r (2),Pirates' Fortress Exterior Sand Chest,Red Rupee,Pirates' Fortress Exterior,Item,Pirates' Fortress Exterior Sand Chest,Red Rupee,
PF Exterior 20r (3),Pirates' Fortress Exterior Corner Chest,Red Rupee,Pirates' Fortress Exterior,Item,Pirates' Fortress Exterior Corner Chest,Red Rupee,
Path to Swamp Grotto,Path to Swamp Grotto,Red Rupee,Road to Southern Swamp,Item,Path to Swamp Grotto,Red Rupee,
Doggy Racetrack 50r,Doggy Racetrack Roof Chest,Purple Rupee,Romani Ranch,Item,Doggy Racetrack Roof Chest,Purple Rupee,
Graveyard Grotto,Ikana Graveyard Grotto,5 Bombchu,Ikana Graveyard,Item,Ikana Graveyard Grotto,5 Bombchu,
Swamp Grotto,Near Swamp Spider House Grotto,Red Rupee,Southern Swamp,Item,Near Swamp Spider House Grotto,Red Rupee,
Woodfall 5r,Behind Woodfall Owl Chest,Blue Rupee,Woodfall,Item,Behind Woodfall Owl Chest,Blue Rupee,
Woodfall 20r,Entrance to Woodfall Chest,Red Rupee,Woodfall,Item,Entrance to Woodfall Chest,Red Rupee,
Well Right Path 50r,Well Right Path Chest,Purple Rupee,Beneath the Well,Item,Well Right Path Chest,Purple Rupee,
Well Left Path 50r,Well Left Path Chest,Purple Rupee,Beneath the Well,Item,Well Left Path Chest,Purple Rupee,
Mountain Village Chest (Spring),Mountain Waterfall Chest,Red Rupee,Mountain Village,Item,Mountain Waterfall Chest,Red Rupee,
Mountain Village Grotto (Spring) 20r,Mountain Spring Grotto,Red Rupee,Mountain Village,Item,Mountain Spring Grotto,Red Rupee,
Path to Ikana 20r,Path to Ikana Pillar Chest,Red Rupee,Road to Ikana,Item,Path to Ikana Pillar Chest,Red Rupee,
Path to Ikana Grotto,Path to Ikana Grotto,Bombchu,Road to Ikana,Item,Path to Ikana Grotto,Bombchu,
Stone Tower 100r,Inverted Stone Tower Right Chest,Silver Rupee,Stone Tower,Item,Inverted Stone Tower Right Chest,Silver Rupee,
Stone Tower Bombchu 10,Inverted Stone Tower Middle Chest,10 Bombchu,Stone Tower,Item,Inverted Stone Tower Middle Chest,10 Bombchu,
Stone Tower Magic Bean,Inverted Stone Tower Left Chest,Magic Bean,Stone Tower,Item,Inverted Stone Tower Left Chest,Magic Bean,
Path to Snowhead Grotto,Path to Snowhead Grotto,Red Rupee,Path to Snowhead,Item,Path to Snowhead Grotto,Red Rupee,
Twin Islands 20r,Twin Islands Cave Chest,Red Rupee,Twin Islands,Item,Twin Islands Cave Chest,Red Rupee,
Secret Shrine HP,Secret Shrine Final Chest,Piece of Heart,Secret Shrine,Item,Secret Shrine Final Chest,Piece of Heart,
Secret Shrine Dinolfos,Secret Shrine Dinolfos Chest,Silver Rupee,Secret Shrine,Item,Secret Shrine Dinolfos Chest,Silver Rupee,
Secret Shrine Wizzrobe,Secret Shrine Wizzrobe Chest,Silver Rupee,Secret Shrine,Item,Secret Shrine Wizzrobe Chest,Silver Rupee,
Secret Shrine Wart,Secret Shrine Wart Chest,Silver Rupee,Secret Shrine,Item,Secret Shrine Wart Chest,Silver Rupee,
Secret Shrine Garo Master,Secret Shrine Garo Master Chest,Silver Rupee,Secret Shrine,Item,Secret Shrine Garo Master Chest,Silver Rupee,
Inn Staff Room,Inn Staff Room Chest,Silver Rupee,Stock Pot Inn,Item,Inn Staff Room Chest,Silver Rupee,
Inn Guest Room,Inn Guest Room Chest,Silver Rupee,Stock Pot Inn,Item,Inn Guest Room Chest,Silver Rupee,
Mystery Woods Grotto,Mystery Woods Grotto,Purple Rupee,Southern Swamp,Item,Mystery Woods Grotto,Purple Rupee,
East Clock Town 100r,East Clock Town Chest,Silver Rupee,East Clock Town,Item,East Clock Town Chest,Silver Rupee,
South Clock Town 20r,South Clock Town Straw Roof Chest,Red Rupee,South Clock Town,Item,South Clock Town Straw Roof Chest,Red Rupee,
South Clock Town 50r,South Clock Town Final Day Chest,Purple Rupee,South Clock Town,Item,South Clock Town Final Day Chest,Purple Rupee,
Bank HP,Bank Reward #3,Piece of Heart,West Clock Town,Item,Bank Reward #3,Piece of Heart,
South Clock Town HP,Clock Tower Entrance,Piece of Heart,South Clock Town,Item,Clock Tower Entrance,Piece of Heart,
North Clock Town HP,North Clock Town Tree,Piece of Heart,North Clock Town,Item,North Clock Town Tree,Piece of Heart,
Path to Swamp HP,Path to Swamp Tree,Piece of Heart,Road to Southern Swamp,Item,Path to Swamp Tree,Piece of Heart,
Swamp Scrub HP,Swamp Tourist Center Roof,Piece of Heart,Southern Swamp,Item,Swamp Tourist Center Roof,Piece of Heart,
Deku Palace HP,Deku Palace West Garden,Piece of Heart,Deku Palace,Item,Deku Palace West Garden,Piece of Heart,
Goron Village Scrub HP,Goron Village Ledge,Piece of Heart,Goron Village,Item,Goron Village Ledge,Piece of Heart,
Bio Baba Grotto HP,Bio Baba Grotto,Piece of Heart,Termina Field,Item,Bio Baba Grotto,Piece of Heart,
Lab Fish HP,Lab Fish,Piece of Heart,Great Bay Coast,Item,Lab Fish,Piece of Heart,
Great Bay Like-Like HP,Zora Cape Like-Like,Piece of Heart,Zora Cape,Item,Zora Cape Like-Like,Piece of Heart,
Pirates' Fortress HP,Pirates' Fortress Cage,Piece of Heart,Pirates' Fortress Sewer,Item,Pirates' Fortress Cage,Piece of Heart,
Zora Hall Scrub HP,Lulu's Room Ledge,Piece of Heart,Zora Hall,Item,Lulu's Room Ledge,Piece of Heart,
Path to Snowhead HP,Path to Snowhead Pillar,Piece of Heart,Path to Snowhead,Item,Path to Snowhead Pillar,Piece of Heart,
