DictionaryName,LocationName,ItemName,LocationArea,ItemSubType,SpoilerLocation,SpoilerItem,EntrancePair
Death Mountain Summit => Death Mountain Crater Upper Local,Death Mountain Summit > Death Mountain Crater Upper Local,Death Mountain Crater Upper Local < Death Mountain Summit,Death Mountain,Entrance,Death Mountain Summit>DMC Upper Local,DMC Upper Local<Death Mountain Summit,Death Mountain Crater Upper Nearby => Death Mountain Summit
Desert Colossus => Haunted Wasteland Near Colossus,Desert Colossus > Haunted Wasteland Near Colossus,Haunted Wasteland Near Colossus < Desert Colossus,Gerudo Desert,Entrance,Desert Colossus>Wasteland Near Colossus,Wasteland Near Colossus<Desert Colossus,Haunted Wasteland Near Colossus => Desert Colossus
Gerudo Fortress => Gerudo Valley Far Side,Gerudo Fortress > Gerudo Valley Far Side,Gerudo Valley Far Side < Gerudo Fortress,Gerudo Desert,Entrance,Gerudo Fortress>GV Fortress Side,GV Fortress Side<Gerudo Fortress,Gerudo Valley Far Side => Gerudo Fortress
Gerudo Fortress Outside Gate => Haunted Wasteland Near Fortress,Gerudo Fortress Outside Gate > Haunted Wasteland Near Fortress,Haunted Wasteland Near Fortress < Gerudo Fortress Outside Gate,Gerudo Desert,Entrance,GF Outside Gate>Wasteland Near Fortress,Wasteland Near Fortress<GF Outside Gate,Haunted Wasteland Near Fortress => Gerudo Fortress Outside Gate
Gerudo Valley => Hyrule Field,Gerudo Valley > Hyrule Field,Hyrule Field < Gerudo Valley,Gerudo Desert,Entrance,Gerudo Valley>Hyrule Field,Hyrule Field<Gerudo Valley,Hyrule Field => Gerudo Valley
Gerudo Valley Far Side => Gerudo Fortress,Gerudo Valley Far Side > Gerudo Fortress,Gerudo Fortress < Gerudo Valley Far Side,Gerudo Desert,Entrance,GV Fortress Side>Gerudo Fortress,Gerudo Fortress<GV Fortress Side,Gerudo Fortress => Gerudo Valley Far Side
Gerudo Valley Lower Stream => Lake Hylia,Gerudo Valley Lower Stream > Lake Hylia,Lake Hylia < Gerudo Valley Lower Stream,Gerudo Desert,Entrance,GV Lower Stream>Lake Hylia,Lake Hylia<GV Lower Stream,
Goron City => Death Mountain,Goron City > Death Mountain,Death Mountain < Goron City,Death Mountain,Entrance,Goron City>Death Mountain,Death Mountain<Goron City,Death Mountain => Goron City
Goron City Woods Warp => Lost Woods,Goron City Woods Warp > Lost Woods,Lost Woods < Goron City Woods Warp,Death Mountain,Entrance,GC Woods Warp>Lost Woods,Lost Woods<GC Woods Warp,Lost Woods => Goron City Woods Warp
Graveyard => Kakariko Village,Graveyard > Kakariko Village,Kakariko Village < Graveyard,Kakariko Village,Entrance,Graveyard>Kakariko Village,Kakariko Village<Graveyard,Kakariko Village => Graveyard
Haunted Wasteland Near Colossus => Desert Colossus,Haunted Wasteland Near Colossus > Desert Colossus,Desert Colossus < Haunted Wasteland Near Colossus,Gerudo Desert,Entrance,Wasteland Near Colossus>Desert Colossus,Desert Colossus<Wasteland Near Colossus,Desert Colossus => Haunted Wasteland Near Colossus
Haunted Wasteland Near Fortress => Gerudo Fortress Outside Gate,Haunted Wasteland Near Fortress > Gerudo Fortress Outside Gate,Gerudo Fortress Outside Gate < Haunted Wasteland Near Fortress,Gerudo Desert,Entrance,Wasteland Near Fortress>GF Outside Gate,GF Outside Gate<Wasteland Near Fortress,Gerudo Fortress Outside Gate => Haunted Wasteland Near Fortress
Hyrule Field => Castle Town Entrance,Hyrule Field > Castle Town Entrance,Castle Town Entrance < Hyrule Field,Hyrule Field,Entrance,Hyrule Field>Market Entrance,Market Entrance<Hyrule Field,Castle Town Entrance => Hyrule Field
Hyrule Field => Gerudo Valley,Hyrule Field > Gerudo Valley,Gerudo Valley < Hyrule Field,Hyrule Field,Entrance,Hyrule Field>Gerudo Valley,Gerudo Valley<Hyrule Field,Gerudo Valley => Hyrule Field
Hyrule Field => Kakariko Village,Hyrule Field > Kakariko Village,Kakariko Village < Hyrule Field,Hyrule Field,Entrance,Hyrule Field>Kakariko Village,Kakariko Village<Hyrule Field,Kakariko Village => Hyrule Field
Hyrule Field => Lake Hylia,Hyrule Field > Lake Hylia,Lake Hylia < Hyrule Field,Hyrule Field,Entrance,Hyrule Field>Lake Hylia,Lake Hylia<Hyrule Field,Lake Hylia => Hyrule Field
Hyrule Field => Lon Lon Ranch,Hyrule Field > Lon Lon Ranch,Lon Lon Ranch < Hyrule Field,Hyrule Field,Entrance,Hyrule Field>Lon Lon Ranch,Lon Lon Ranch<Hyrule Field,Lon Lon Ranch => Hyrule Field
Hyrule Field => Lost Woods Bridge,Hyrule Field > Lost Woods Bridge,Lost Woods Bridge < Hyrule Field,Hyrule Field,Entrance,Hyrule Field>LW Bridge,LW Bridge<Hyrule Field,Lost Woods Bridge => Hyrule Field
Hyrule Field => Zora River Front,Hyrule Field > Zora River Front,Zora River Front < Hyrule Field,Hyrule Field,Entrance,Hyrule Field>ZR Front,ZR Front<Hyrule Field,Zora River Front => Hyrule Field
Kakariko Village => Graveyard,Kakariko Village > Graveyard,Graveyard < Kakariko Village,Kakariko Village,Entrance,Kakariko Village>Graveyard,Graveyard<Kakariko Village,Graveyard => Kakariko Village
Kakariko Village => Hyrule Field,Kakariko Village > Hyrule Field,Hyrule Field < Kakariko Village,Kakariko Village,Entrance,Kakariko Village>Hyrule Field,Hyrule Field<Kakariko Village,Hyrule Field => Kakariko Village
Kakariko Village Behind Gate => Death Mountain,Kakariko Village Behind Gate > Death Mountain,Death Mountain < Kakariko Village Behind Gate,Kakariko Village,Entrance,Kak Behind Gate>Death Mountain,Death Mountain<Kak Behind Gate,Death Mountain => Kakariko Village Behind Gate
Kokiri Forest => Lost Woods,Kokiri Forest > Lost Woods,Lost Woods < Kokiri Forest,Kokiri Forest,Entrance,Kokiri Forest>Lost Woods,Lost Woods<Kokiri Forest,Lost Woods Forest Exit => Kokiri Forest
Kokiri Forest => Lost Woods Bridge From Forest,Kokiri Forest > Lost Woods Bridge From Forest,Lost Woods Bridge From Forest < Kokiri Forest,Kokiri Forest,Entrance,Kokiri Forest>LW Bridge From Forest,LW Bridge From Forest<Kokiri Forest,Lost Woods Bridge => Kokiri Forest
Lake Hylia => Hyrule Field,Lake Hylia > Hyrule Field,Hyrule Field < Lake Hylia,Lake Hylia,Entrance,Lake Hylia>Hyrule Field,Hyrule Field<Lake Hylia,Hyrule Field => Lake Hylia
Lake Hylia => Zoras Domain,Lake Hylia > Zoras Domain,Zoras Domain < Lake Hylia,Lake Hylia,Entrance,Lake Hylia>Zoras Domain,Zoras Domain<Lake Hylia,Zoras Domain => Lake Hylia
Lon Lon Ranch => Hyrule Field,Lon Lon Ranch > Hyrule Field,Hyrule Field < Lon Lon Ranch,Lon Lon Ranch,Entrance,Lon Lon Ranch>Hyrule Field,Hyrule Field<Lon Lon Ranch,Hyrule Field => Lon Lon Ranch
Lost Woods => Goron City Woods Warp,Lost Woods > Goron City Woods Warp,Goron City Woods Warp < Lost Woods,Lost Woods,Entrance,Lost Woods>GC Woods Warp,GC Woods Warp<Lost Woods,Goron City Woods Warp => Lost Woods
Lost Woods => Zora River,Lost Woods > Zora River,Zora River < Lost Woods,Lost Woods,Entrance,Lost Woods>Zora River,Zora River<Lost Woods,Zora River => Lost Woods
Lost Woods Beyond Mido => Sacred Forest Meadow Entryway,Lost Woods Beyond Mido > Sacred Forest Meadow Entryway,Sacred Forest Meadow Entryway < Lost Woods Beyond Mido,Lost Woods,Entrance,LW Beyond Mido>SFM Entryway,SFM Entryway<LW Beyond Mido,Sacred Forest Meadow Entryway => Lost Woods Beyond Mido
Lost Woods Bridge => Hyrule Field,Lost Woods Bridge > Hyrule Field,Hyrule Field < Lost Woods Bridge,Lost Woods,Entrance,LW Bridge>Hyrule Field,Hyrule Field<LW Bridge,Hyrule Field => Lost Woods Bridge
Lost Woods Bridge => Kokiri Forest,Lost Woods Bridge > Kokiri Forest,Kokiri Forest < Lost Woods Bridge,Lost Woods,Entrance,LW Bridge>Kokiri Forest,Kokiri Forest<LW Bridge,Kokiri Forest => Lost Woods Bridge From Forest
Lost Woods Forest Exit => Kokiri Forest,Lost Woods Forest Exit > Kokiri Forest,Kokiri Forest < Lost Woods Forest Exit,Lost Woods,Entrance,LW Forest Exit>Kokiri Forest,Kokiri Forest<LW Forest Exit,Kokiri Forest => Lost Woods
Sacred Forest Meadow Entryway => Lost Woods Beyond Mido,Sacred Forest Meadow Entryway > Lost Woods Beyond Mido,Lost Woods Beyond Mido < Sacred Forest Meadow Entryway,Lost Woods,Entrance,SFM Entryway>LW Beyond Mido,LW Beyond Mido<SFM Entryway,Lost Woods Beyond Mido => Sacred Forest Meadow Entryway
Temple of Time Exterior => Castle Town,Temple of Time Exterior > Castle Town,Castle Town < Temple of Time Exterior,Castle Town,Entrance,ToT Entrance>Market,Market<ToT Entrance,Castle Town => Temple of Time Exterior
Zora River => Lost Woods,Zora River > Lost Woods,Lost Woods < Zora River,Zora River,Entrance,Zora River>Lost Woods,Lost Woods<Zora River,Lost Woods => Zora River
Zora River Behind Waterfall => Zoras Domain,Zora River Behind Waterfall > Zoras Domain,Zoras Domain < Zora River Behind Waterfall,Zora River,Entrance,ZR Behind Waterfall>Zoras Domain,Zoras Domain<ZR Behind Waterfall,Zoras Domain => Zora River Behind Waterfall
Zora River Front => Hyrule Field,Zora River Front > Hyrule Field,Hyrule Field < Zora River Front,Zora River,Entrance,ZR Front>Hyrule Field,Hyrule Field<ZR Front,Hyrule Field => Zora River Front
Zoras Domain => Lake Hylia,Zoras Domain > Lake Hylia,Lake Hylia < Zoras Domain,Zora River,Entrance,Zoras Domain>Lake Hylia,Lake Hylia<Zoras Domain,Lake Hylia => Zoras Domain
Zoras Domain => Zora River Behind Waterfall,Zoras Domain > Zora River Behind Waterfall,Zora River Behind Waterfall < Zoras Domain,Zora River,Entrance,Zoras Domain>ZR Behind Waterfall,ZR Behind Waterfall<Zoras Domain,Zora River Behind Waterfall => Zoras Domain
Zoras Domain Behind King Zora => Zoras Fountain,Zoras Domain Behind King Zora > Zoras Fountain,Zoras Fountain < Zoras Domain Behind King Zora,Zora River,Entrance,ZD Behind King Zora>Zoras Fountain,Zoras Fountain<ZD Behind King Zora,Zoras Fountain => Zoras Domain Behind King Zora
Zoras Fountain => Zoras Domain Behind King Zora,Zoras Fountain > Zoras Domain Behind King Zora,Zoras Domain Behind King Zora < Zoras Fountain,Zora River,Entrance,Zoras Fountain>ZD Behind King Zora,ZD Behind King Zora<Zoras Fountain,Zoras Domain Behind King Zora => Zoras Fountain
Bottom of the Well => Kakariko Village,Bottom of the Well > Kakariko Village,Kakariko Village < Bottom of the Well,Kakariko Village,Entrance,Bottom of the Well>Kakariko Village,Kakariko Village<Bottom of the Well,Kakariko Village => Bottom of the Well
Death Mountain => Dodongos Cavern Beginning,Death Mountain > Dodongos Cavern Beginning,Dodongos Cavern Beginning < Death Mountain,Death Mountain,Entrance,Death Mountain>Dodongos Cavern Beginning,Dodongos Cavern Beginning<Death Mountain,Dodongos Cavern Beginning => Death Mountain
Deku Tree Lobby => Outside Deku Tree,Deku Tree Lobby > Outside Deku Tree,Outside Deku Tree < Deku Tree Lobby,Kokiri Forest,Entrance,Deku Tree Lobby>KF Outside Deku Tree,KF Outside Deku Tree<Deku Tree Lobby,Outside Deku Tree => Deku Tree Lobby
Desert Colossus => Spirit Temple Lobby,Desert Colossus > Spirit Temple Lobby,Spirit Temple Lobby < Desert Colossus,Gerudo Desert,Entrance,Desert Colossus>Spirit Temple Lobby,Spirit Temple Lobby<Desert Colossus,Spirit Temple Lobby => Desert Colossus From Spirit Lobby
Dodongos Cavern Beginning => Death Mountain,Dodongos Cavern Beginning > Death Mountain,Death Mountain < Dodongos Cavern Beginning,Death Mountain,Entrance,Dodongos Cavern Beginning>Death Mountain,Death Mountain<Dodongos Cavern Beginning,Death Mountain => Dodongos Cavern Beginning
Fire Temple Entrance => Fire Temple Lower,Fire Temple Entrance > Fire Temple Lower,Fire Temple Lower < Fire Temple Entrance,Death Mountain,Entrance,DMC Fire Temple Entrance>Fire Temple Lower,Fire Temple Lower<DMC Fire Temple Entrance,Fire Temple Lower => Fire Temple Entrance
Fire Temple Lower => Fire Temple Entrance,Fire Temple Lower > Fire Temple Entrance,Fire Temple Entrance < Fire Temple Lower,Death Mountain,Entrance,Fire Temple Lower>DMC Fire Temple Entrance,DMC Fire Temple Entrance<Fire Temple Lower,Fire Temple Entrance => Fire Temple Lower
Forest Temple Entrance Ledge => Forest Temple Lobby,Forest Temple Entrance Ledge > Forest Temple Lobby,Forest Temple Lobby < Forest Temple Entrance Ledge,Lost Woods,Entrance,SFM Forest Temple Entrance Ledge>Forest Temple Lobby,Forest Temple Lobby<SFM Forest Temple Entrance Ledge,Forest Temple Lobby => Forest Temple Entrance Ledge
Forest Temple Lobby => Forest Temple Entrance Ledge,Forest Temple Lobby > Forest Temple Entrance Ledge,Forest Temple Entrance Ledge < Forest Temple Lobby,Lost Woods,Entrance,Forest Temple Lobby>SFM Forest Temple Entrance Ledge,SFM Forest Temple Entrance Ledge<Forest Temple Lobby,Forest Temple Entrance Ledge => Forest Temple Lobby
Gerudo Fortress => Gerudo Training Grounds Lobby,Gerudo Fortress > Gerudo Training Grounds Lobby,Gerudo Training Grounds Lobby < Gerudo Fortress,Gerudo Desert,Entrance,Gerudo Fortress>Gerudo Training Grounds Lobby,Gerudo Training Grounds Lobby<Gerudo Fortress,Gerudo Training Grounds Lobby => Gerudo Fortress
Gerudo Training Grounds Lobby => Gerudo Fortress,Gerudo Training Grounds Lobby > Gerudo Fortress,Gerudo Fortress < Gerudo Training Grounds Lobby,Gerudo Desert,Entrance,Gerudo Training Grounds Lobby>Gerudo Fortress,Gerudo Fortress<Gerudo Training Grounds Lobby,Gerudo Fortress => Gerudo Training Grounds Lobby
Ice Cavern Beginning => Zoras Fountain Ice Ledge,Ice Cavern Beginning > Zoras Fountain Ice Ledge,Zoras Fountain Ice Ledge < Ice Cavern Beginning,Zora River,Entrance,Ice Cavern Beginning>ZF Ice Ledge,ZF Ice Ledge<Ice Cavern Beginning,Zoras Fountain Ice Ledge => Ice Cavern Beginning
Jabu Jabus Belly Beginning => Zoras Fountain,Jabu Jabus Belly Beginning > Zoras Fountain,Zoras Fountain < Jabu Jabus Belly Beginning,Zora River,Entrance,Jabu Jabus Belly Beginning>Zoras Fountain,Zoras Fountain<Jabu Jabus Belly Beginning,Zoras Fountain => Jabu Jabus Belly Beginning
Kakariko Village => Bottom of the Well,Kakariko Village > Bottom of the Well,Bottom of the Well < Kakariko Village,Kakariko Village,Entrance,Kakariko Village>Bottom of the Well,Bottom of the Well<Kakariko Village,Bottom of the Well => Kakariko Village
Lake Hylia => Water Temple Lobby,Lake Hylia > Water Temple Lobby,Water Temple Lobby < Lake Hylia,Lake Hylia,Entrance,Lake Hylia>Water Temple Lobby,Water Temple Lobby<Lake Hylia,Water Temple Lobby => Lake Hylia
Outside Deku Tree => Deku Tree Lobby,Outside Deku Tree > Deku Tree Lobby,Deku Tree Lobby < Outside Deku Tree,Kokiri Forest,Entrance,KF Outside Deku Tree>Deku Tree Lobby,Deku Tree Lobby<KF Outside Deku Tree,Deku Tree Lobby => Outside Deku Tree
Shadow Temple Entryway => Shadow Temple Warp Region,Shadow Temple Entryway > Shadow Temple Warp Region,Shadow Temple Warp Region < Shadow Temple Entryway,Kakariko Village,Entrance,Shadow Temple Entryway>Graveyard Warp Pad Region,Graveyard Warp Pad Region<Shadow Temple Entryway,Shadow Temple Warp Region => Shadow Temple Entryway
Shadow Temple Warp Region => Shadow Temple Entryway,Shadow Temple Warp Region > Shadow Temple Entryway,Shadow Temple Entryway < Shadow Temple Warp Region,Kakariko Village,Entrance,Graveyard Warp Pad Region>Shadow Temple Entryway,Shadow Temple Entryway<Graveyard Warp Pad Region,Shadow Temple Entryway => Shadow Temple Warp Region
Spirit Temple Lobby => Desert Colossus From Spirit Lobby,Spirit Temple Lobby > Desert Colossus From Spirit Lobby,Desert Colossus From Spirit Lobby < Spirit Temple Lobby,Gerudo Desert,Entrance,Spirit Temple Lobby>Desert Colossus From Spirit Lobby,Desert Colossus From Spirit Lobby<Spirit Temple Lobby,Desert Colossus => Spirit Temple Lobby
Water Temple Lobby => Lake Hylia,Water Temple Lobby > Lake Hylia,Lake Hylia < Water Temple Lobby,Lake Hylia,Entrance,Water Temple Lobby>Lake Hylia,Lake Hylia<Water Temple Lobby,Lake Hylia => Water Temple Lobby
Zoras Fountain => Jabu Jabus Belly Beginning,Zoras Fountain > Jabu Jabus Belly Beginning,Jabu Jabus Belly Beginning < Zoras Fountain,Zora River,Entrance,Zoras Fountain>Jabu Jabus Belly Beginning,Jabu Jabus Belly Beginning<Zoras Fountain,Jabu Jabus Belly Beginning => Zoras Fountain
Zoras Fountain Ice Ledge => Ice Cavern Beginning,Zoras Fountain Ice Ledge > Ice Cavern Beginning,Ice Cavern Beginning < Zoras Fountain Ice Ledge,Zora River,Entrance,ZF Ice Ledge>Ice Cavern Beginning,Ice Cavern Beginning<ZF Ice Ledge,Ice Cavern Beginning => Zoras Fountain Ice Ledge
Carpenter Boss House => Kakariko Village,Carpenter Boss House > Kakariko Village,Kakariko Village < Carpenter Boss House,Kakariko Village,Entrance,Kak Carpenter Boss House>Kakariko Village,Kakariko Village<Kak Carpenter Boss House,Kakariko Village => Carpenter Boss House
Carpenter Tent => Gerudo Valley Far Side,Carpenter Tent > Gerudo Valley Far Side,Gerudo Valley Far Side < Carpenter Tent,Gerudo Desert,Entrance,GV Carpenter Tent>GV Fortress Side,GV Fortress Side<GV Carpenter Tent,Gerudo Valley Far Side => Carpenter Tent
Castle Town => Castle Town Bazaar,Castle Town > Castle Town Bazaar,Castle Town Bazaar < Castle Town,Castle Town,Entrance,Market>Market Bazaar,Market Bazaar,Castle Town Bazaar => Castle Town
Castle Town => Castle Town Bombchu Bowling,Castle Town > Castle Town Bombchu Bowling,Castle Town Bombchu Bowling < Castle Town,Castle Town,Entrance,Market>Market Bombchu Bowling,Market Bombchu Bowling,Castle Town Bombchu Bowling => Castle Town
Castle Town => Castle Town Mask Shop,Castle Town > Castle Town Mask Shop,Castle Town Mask Shop < Castle Town,Castle Town,Entrance,Market>Market Mask Shop,Market Mask Shop,Castle Town Mask Shop => Castle Town
Castle Town => Castle Town Potion Shop,Castle Town > Castle Town Potion Shop,Castle Town Potion Shop < Castle Town,Castle Town,Entrance,Market>Market Potion Shop,Market Potion Shop,Castle Town Potion Shop => Castle Town
Castle Town => Castle Town Shooting Gallery,Castle Town > Castle Town Shooting Gallery,Castle Town Shooting Gallery < Castle Town,Castle Town,Entrance,Market>Market Shooting Gallery,Market Shooting Gallery,Castle Town Shooting Gallery => Castle Town
Castle Town => Castle Town Treasure Chest Game,Castle Town > Castle Town Treasure Chest Game,Castle Town Treasure Chest Game < Castle Town,Castle Town,Entrance,Market>Market Treasure Chest Game,Market Treasure Chest Game,Castle Town Treasure Chest Game => Castle Town
Castle Town Back Alley => Castle Town Bombchu Shop,Castle Town Back Alley > Castle Town Bombchu Shop,Castle Town Bombchu Shop < Castle Town Back Alley,Castle Town,Entrance,Market Back Alley>Market Bombchu Shop,Market Bombchu Shop,Castle Town Bombchu Shop => Castle Town Back Alley
Castle Town Back Alley => Castle Town Man in Green House,Castle Town Back Alley > Castle Town Man in Green House,Castle Town Man in Green House < Castle Town Back Alley,Castle Town,Entrance,Market Back Alley>Market Man in Green House,Market Man in Green House,Castle Town Man in Green House => Castle Town Back Alley
Castle Town Bazaar => Castle Town,Castle Town Bazaar > Castle Town,Castle Town < Castle Town Bazaar,Castle Town,Entrance,Market Bazaar>Market,Market<Market Bazaar,Castle Town => Castle Town Bazaar
Castle Town Bombchu Bowling => Castle Town,Castle Town Bombchu Bowling > Castle Town,Castle Town < Castle Town Bombchu Bowling,Castle Town,Entrance,Market Bombchu Bowling>Market,Market<Market Bombchu Bowling,Castle Town => Castle Town Bombchu Bowling
Castle Town Bombchu Shop => Castle Town Back Alley,Castle Town Bombchu Shop > Castle Town Back Alley,Castle Town Back Alley < Castle Town Bombchu Shop,Castle Town,Entrance,Market Bombchu Shop>Market Back Alley,Market Back Alley<Market Bombchu Shop,Castle Town Back Alley => Castle Town Bombchu Shop
Castle Town Entrance => Castle Town Rupee Room,Castle Town Entrance > Castle Town Rupee Room,Castle Town Rupee Room < Castle Town Entrance,Castle Town,Entrance,Market Entrance>Market Guard House,Market Guard House,Castle Town Rupee Room => Castle Town Entrance
Castle Town Man in Green House => Castle Town Back Alley,Castle Town Man in Green House > Castle Town Back Alley,Castle Town Back Alley < Castle Town Man in Green House,Castle Town,Entrance,Market Man in Green House>Market Back Alley,Market Back Alley<Market Man in Green House,Castle Town Back Alley => Castle Town Man in Green House
Castle Town Mask Shop => Castle Town,Castle Town Mask Shop > Castle Town,Castle Town < Castle Town Mask Shop,Castle Town,Entrance,Market Mask Shop>Market,Market<Market Mask Shop,Castle Town => Castle Town Mask Shop
Castle Town Potion Shop => Castle Town,Castle Town Potion Shop > Castle Town,Castle Town < Castle Town Potion Shop,Castle Town,Entrance,Market Potion Shop>Market,Market<Market Potion Shop,Castle Town => Castle Town Potion Shop
Castle Town Rupee Room => Castle Town Entrance,Castle Town Rupee Room > Castle Town Entrance,Castle Town Entrance < Castle Town Rupee Room,Castle Town,Entrance,Market Guard House>Market Entrance,Market Entrance<Market Guard House,Castle Town Entrance => Castle Town Rupee Room
Castle Town Shooting Gallery => Castle Town,Castle Town Shooting Gallery > Castle Town,Castle Town < Castle Town Shooting Gallery,Castle Town,Entrance,Market Shooting Gallery>Market,Market<Market Shooting Gallery,Castle Town => Castle Town Shooting Gallery
Castle Town Treasure Chest Game => Castle Town,Castle Town Treasure Chest Game > Castle Town,Castle Town < Castle Town Treasure Chest Game,Castle Town,Entrance,Market Treasure Chest Game>Market,Market<Market Treasure Chest Game,Castle Town => Castle Town Treasure Chest Game
Colossus Fairy => Desert Colossus,Colossus Fairy > Desert Colossus,Desert Colossus < Colossus Fairy,Gerudo Desert,Entrance,Colossus Great Fairy Fountain>Desert Colossus,Desert Colossus<Colossus Great Fairy Fountain,Desert Colossus => Colossus Fairy
Crater Fairy => Death Mountain Crater Lower Local,Crater Fairy > Death Mountain Crater Lower Local,Death Mountain Crater Lower Local < Crater Fairy,Death Mountain,Entrance,DMC Great Fairy Fountain>DMC Lower Local,DMC Lower Local<DMC Great Fairy Fountain,Death Mountain Crater Lower Nearby => Crater Fairy
Dampes House => Graveyard,Dampes House > Graveyard,Graveyard < Dampes House,Kakariko Village,Entrance,Graveyard Dampes House>Graveyard,Graveyard<Graveyard Dampes House,Graveyard => Dampes House
Death Mountain Crater Lower Nearby => Crater Fairy,Death Mountain Crater Lower Nearby > Crater Fairy,Crater Fairy < Death Mountain Crater Lower Nearby,Death Mountain,Entrance,DMC Lower Nearby>DMC Great Fairy Fountain,DMC Great Fairy Fountain,Crater Fairy => Death Mountain Crater Lower Local
