EntranceMayorsResidenceFromEastClockTown,EntranceEastClockTownFromMayorsResidence
EntranceIkanaCanyonFromAncientCastleofIkanaCourtyard,EntranceAncientCastleofIkanaCourtyardFromIkanaCanyon
EntranceIkanaCanyonFromFairysFountain,EntranceFairysFountainFromIkanaCanyon
EntranceIkanaCanyonFromSecretShrine,EntranceSecretShrineFromIkanaCanyon
EntranceIkanaCanyonFromSpringWaterCave,EntranceSpringWaterCaveFromIkanaCanyon
EntranceSpringWaterCaveFromIkanaCanyon,EntranceIkanaCanyonFromSpringWaterCave
EntrancePiratesFortressFromMainEntrance,EntrancePiratesFortressExteriorFromPiratesFortressMain
EntrancePiratesFortressFromHookshotRoomLower,EntrancePiratesFortressHookshotRoomFromLowerDoor
EntrancePiratesFortressFromHookshotRoomUpper,EntrancePiratesFortressHookshotRoomFromUpperDoor
EntrancePiratesFortressFromGuardRoomFront,EntrancePiratesFortressGuardRoomFromFrontDoor
EntrancePiratesFortressFromGuardRoomBack,EntrancePiratesFortressGuardRoomFromBackDoor
EntrancePiratesFortressFromBarrelMazeFront,EntrancePiratesFortressBarrelMazeFromFrontDoor
EntrancePiratesFortressFromBarrelMazeBack,EntrancePiratesFortressBarrelMazeFromBackDoor
EntrancePiratesFortressFromOnePatrolFront,EntrancePiratesFortressOneGuardFrontFromPiratesFortress
EntrancePiratesFortressFromOnePatrolBack,EntrancePiratesFortressOneGuardRearFromPiratesFortress
EntrancePiratesFortressFromTelescope,EntrancePiratesFortressSewerFromTelescope
EntrancePiratesFortressFromPiratesFortressExteriorBalcony,EntrancePiratesFortressExteriorFromPiratesFortressBalcony
EntranceMilkBarFromEastClockTown,EntranceEastClockTownFromMilkBar
EntranceStoneTowerTempleFromStoneTower,EntranceStoneTowerFromStoneTowerTemple
EntranceTreasureChestShopFromEastClockTown,EntranceEastClockTownFromTreasureChestShop
EntranceStoneTowerTempleInvertedFromStoneTowerInverted,EntranceStoneTowerInvertedFromStoneTowerTempleInverted
EntranceClockTowerRooftopFromSouthClockTown,EntranceSouthClockTownFromClockTowerRooftop
EntranceBeforethePortaltoTerminaFromClockTowerInterior,EntranceClockTowerInteriorFromBeforethePortaltoTermina
EntranceWoodfallTempleFromWoodfall,EntranceWoodfallFromWoodfallTempleEntrance
EntranceWoodfallTemplePrisonFromWoodfall,EntranceWoodfallFromWoodfallTempleExit
EntrancePathtoMountainVillageFromTerminaField,EntranceTerminaFieldFromPathtoMountainVillage
EntrancePathtoMountainVillageFromMountainVillage,EntranceMountainVillageFromPathtoMountainVillage
EntranceAncientCastleofIkanaCourtyardFromBeneaththeWell,EntranceBeneaththeWellFromAncientCastleofIkana
EntranceAncientCastleofIkanaCourtyardFromIkanaCanyon,EntranceIkanaCanyonFromAncientCastleofIkanaCourtyard
EntranceAncientCastleofIkanaFromIgosduIkanasLair,EntranceIgosduIkanasLairFromAncientCastleofIkana
EntranceDekuScrubPlaygroundFromNorthClockTown,EntranceNorthClockTownFromDekuScrubPlayground
EntranceTownShootingGalleryFromEastClockTown,EntranceEastClockTownFromShootingGalleryClockTown
EntranceSnowheadTempleFromSnowhead,EntranceSnowheadFromSnowheadTemple
EntranceMilkRoadFromTerminaField,EntranceTerminaFieldFromMilkRoad
EntranceMilkRoadFromRomaniRanch,EntranceRomaniRanchFromMilkRoad
EntranceMilkRoadFromGormanRacetrackTrack,EntranceGormanTrackFromMilkRoadGated
EntranceMilkRoadFromGormanRacetrackMain,EntranceGormanTrackFromMilkRoadMain
EntrancePiratesFortressHookshotRoomFromLowerDoor,EntrancePiratesFortressFromHookshotRoomLower
EntrancePiratesFortressHookshotRoomFromUpperDoor,EntrancePiratesFortressFromHookshotRoomUpper
EntrancePiratesFortressGuardRoomFromFrontDoor,EntrancePiratesFortressFromGuardRoomFront
EntrancePiratesFortressGuardRoomFromBackDoor,EntrancePiratesFortressFromGuardRoomBack
EntrancePiratesFortressBarrelMazeFromFrontDoor,EntrancePiratesFortressFromBarrelMazeFront
EntrancePiratesFortressBarrelMazeFromBackDoor,EntrancePiratesFortressFromBarrelMazeBack
EntrancePiratesFortressOneGuardFrontFromPiratesFortress,EntrancePiratesFortressFromOnePatrolFront
EntrancePiratesFortressOneGuardRearFromPiratesFortress,EntrancePiratesFortressFromOnePatrolBack
EntrancePiratesFortressSewerFromTelescope,EntrancePiratesFortressFromTelescope
EntrancePiratesFortressSewerFromWater,EntrancePiratesFortressExteriorFromPiratesFortressSewerMain
EntrancePiratesFortressSewerFromRear,EntrancePiratesFortressExteriorFromPiratesFortressSewerDoor
EntranceSwampShootingGalleryFromRoadtoSouthernSwamp,EntranceRoadtoSouthernSwampFromSwampShootingGallery
EntrancePinnacleRockFromGreatBayCoast,EntranceGreatBayCoastFromPinnacleRock
EntranceFairysFountainFromNorthClockTown,EntranceNorthClockTownFromFairysFountain
EntranceFairysFountainFromWoodfall,EntranceWoodfallFromFairysFountain
EntranceFairysFountainFromSnowhead,EntranceSnowheadFromFairysFountain
EntranceFairysFountainFromZoraCape,EntranceZoraCapeFromFairysFountain
EntranceFairysFountainFromIkanaCanyon,EntranceIkanaCanyonFromFairysFountain
EntranceSwampSpiderHouseFromSouthernSwamp,EntranceSouthernSwampFromSwampSpiderHouse
EntranceOceansideSpiderHouseFromGreatBayCoast,EntranceGreatBayCoastFromOceansideSpiderHouse
EntranceAstralObservatoryFromEastClockTown,EntranceEastClockTownFromAstralObservatory
EntranceAstralObservatoryFromTerminaField,EntranceTerminaFieldFromAstralObservatory
EntranceAstralObservatoryFromTelescope,EntranceTerminaFieldFromAstralObservatoryTelescope
EntranceDekuTrialFromTheMoon,EntranceTheMoonFromDekuTrial
EntranceDekuPalaceFromSouthernSwampLower,EntranceSouthernSwampFromDekuPalaceLower
EntranceDekuPalaceFromDekuKingsChamberMain,EntranceDekuKingsChamberFromDekuPalace
EntranceDekuPalaceFromDekuKingsChamberGardenWest,EntranceDekuKingsChamberFromDekuPalaceWestGarden
EntranceDekuPalaceFromDekuShrine,EntranceDekuShrineFromDekuPalace
EntranceDekuPalaceFromSouthernSwampUpper,EntranceSouthernSwampFromDekuPalaceUpper
EntranceDekuPalaceGardenWestFromPalaceVinesGrotto,EntranceGrottoPalaceVinesFromDekuPalaceUpper
EntranceDekuPalaceGardenWestFromPalaceStraightGrotto,EntranceGrottoPalaceStraightFromDekuPalaceB
EntranceDekuPalaceGardenEastFromPalaceStraightGrotto,EntranceGrottoPalaceStraightFromDekuPalaceA
EntranceDekuPalaceGardenEastFromBeanSellerGrotto,EntranceGrottoBeanSellerFromDekuPalace
EntranceDekuPalaceGardenEastFromPalaceVinesGrotto,EntranceGrottoPalaceVinesFromDekuPalaceLower
EntranceMountainSmithyFromMountainVillage,EntranceMountainVillageFromMountainSmithy
EntranceTerminaFieldFromWestClockTown,EntranceWestClockTownFromTerminaField
EntranceTerminaFieldFromRoadtoSouthernSwamp,EntranceRoadtoSouthernSwampFromTerminaField
EntranceTerminaFieldFromGreatBayCoast,EntranceGreatBayCoastFromTerminaField
EntranceTerminaFieldFromPathtoMountainVillage,EntrancePathtoMountainVillageFromTerminaField
EntranceTerminaFieldFromRoadtoIkana,EntranceRoadtoIkanaFromTerminaField
EntranceTerminaFieldFromMilkRoad,EntranceMilkRoadFromTerminaField
EntranceTerminaFieldFromSouthClockTown,EntranceSouthClockTownFromTerminaField
EntranceTerminaFieldFromEastClockTown,EntranceEastClockTownFromTerminaField
EntranceTerminaFieldFromNorthClockTown,EntranceNorthClockTownFromTerminaField
EntranceTerminaFieldFromAstralObservatory,EntranceAstralObservatoryFromTerminaField
EntranceTerminaFieldFromAstralObservatoryTelescope,EntranceAstralObservatoryFromTelescope
EntrancePostOfficeFromWestClockTown,EntranceWestClockTownFromPostOffice
EntranceMarineResearchLabFromGreatBayCoast,EntranceGreatBayCoastFromMarineResearchLab
EntranceDampesHouseFromIkanaGraveyardGrave,EntranceIkanaGraveyardFromDay3Grave
EntranceDampesHouseFromIkanaGraveyardDoor,EntranceIkanaGraveyardFromDampesHouse
EntranceGoronShrineFromGoronVillage,EntranceGoronVillageFromGoronShrine
EntranceGoronShrineFromGoronShop,EntranceGoronShopFromGoronVillage
EntranceZoraHallFromZoraCapeLand,EntranceZoraCapeFromZoraHallLand
EntranceZoraHallFromZoraCapeWater,EntranceZoraCapeFromZoraHallWater
EntranceZoraHallFromZoraShop,EntranceZoraHallRoomsZoraShopFromZoraHall
EntranceZoraHallFromLulusRoom,EntranceZoraHallRoomsLulusRoomFromZoraHall
EntranceZoraHallFromEvansRoom,EntranceZoraHallRoomsEvansRoomFromZoraHall
EntranceZoraHallFromJapasRoom,EntranceZoraHallRoomsJapasRoomFromZoraHall
EntranceZoraHallFromMikauTijosRoom,EntranceZoraHallRoomsMikauTijosRoomFromZoraHall
EntranceTradingPostFromWestClockTown,EntranceWestClockTownFromTradingPost
EntranceRomaniRanchFromMilkRoad,EntranceMilkRoadFromRomaniRanch
EntranceRomaniRanchFromBarn,EntranceRanchBarnFromRomaniRanch
EntranceRomaniRanchFromRanchHouse,EntranceRanchHouseFromRomaniRanch
EntranceRomaniRanchFromCuccoShack,EntranceCuccoShackFromRomaniRanch
EntranceRomaniRanchFromDoggyRacetrack,EntranceDoggyRacetrackFromRomaniRanch
EntranceGreatBayCoastFromTerminaField,EntranceTerminaFieldFromGreatBayCoast
EntranceGreatBayCoastFromZoraCape,EntranceZoraCapeFromGreatBayCoast
EntranceGreatBayCoastFromPinnacleRock,EntrancePinnacleRockFromGreatBayCoast
EntranceGreatBayCoastFromFishermansHut,EntranceFishermansHutFromGreatBayCoast
EntranceGreatBayCoastFromPiratesFortress,EntrancePiratesFortressExteriorFromGreatBayCoast
EntranceGreatBayCoastFromMarineResearchLab,EntranceMarineResearchLabFromGreatBayCoast
EntranceGreatBayCoastFromOceansideSpiderHouse,EntranceOceansideSpiderHouseFromGreatBayCoast
EntranceZoraCapeFromGreatBayCoast,EntranceGreatBayCoastFromZoraCape
EntranceZoraCapeFromZoraHallLand,EntranceZoraHallFromZoraCapeLand
EntranceZoraCapeFromZoraHallWater,EntranceZoraHallFromZoraCapeWater
EntranceZoraCapeFromWaterfallRapids,EntranceWaterfallRapidsFromZoraCape
EntranceZoraCapeFromFairysFountain,EntranceFairysFountainFromZoraCape
EntranceZoraCapeFromGreatBayTemple,EntranceGreatBayTempleFromZoraCape
EntranceLotteryShopFromWestClockTown,EntranceWestClockTownFromLotteryShop
EntrancePiratesFortressExteriorFromGreatBayCoast,EntranceGreatBayCoastFromPiratesFortress
EntrancePiratesFortressExteriorFromPiratesFortressMain,EntrancePiratesFortressFromMainEntrance
EntrancePiratesFortressExteriorFromPiratesFortressSewerMain,EntrancePiratesFortressSewerFromWater
EntrancePiratesFortressExteriorFromPiratesFortressBalcony,EntrancePiratesFortressFromPiratesFortressExteriorBalcony
EntrancePiratesFortressExteriorFromPiratesFortressSewerDoor,EntrancePiratesFortressSewerFromRear
EntranceFishermansHutFromGreatBayCoast,EntranceGreatBayCoastFromFishermansHut
EntranceGoronShopFromGoronVillage,EntranceGoronShrineFromGoronShop
EntranceDekuKingsChamberFromDekuPalace,EntranceDekuPalaceFromDekuKingsChamberMain
EntranceDekuKingsChamberFromDekuPalaceWestGarden,EntranceDekuPalaceFromDekuKingsChamberGardenWest
EntranceGoronTrialFromTheMoon,EntranceTheMoonFromGoronTrial
EntranceRoadtoSouthernSwampFromTerminaField,EntranceTerminaFieldFromRoadtoSouthernSwamp
EntranceRoadtoSouthernSwampFromSouthernSwamp,EntranceSouthernSwampFromRoadtoSouthernSwamp
EntranceRoadtoSouthernSwampFromSwampShootingGallery,EntranceSwampShootingGalleryFromRoadtoSouthernSwamp
EntranceDoggyRacetrackFromRomaniRanch,EntranceRomaniRanchFromDoggyRacetrack
EntranceCuccoShackFromRomaniRanch,EntranceRomaniRanchFromCuccoShack
EntranceIkanaGraveyardFromRoadtoIkana,EntranceRoadtoIkanaFromIkanaGraveyard
EntranceIkanaGraveyardFromDay3Grave,EntranceDampesHouseFromIkanaGraveyardGrave
EntranceIkanaGraveyardFromDay2Grave,EntranceBeneathGraveyardFromIkanaGraveyardNight2
EntranceIkanaGraveyardFromDay1Grave,EntranceBeneathGraveyardFromIkanaGraveyardNight1
EntranceIkanaGraveyardFromDampesHouse,EntranceDampesHouseFromIkanaGraveyardDoor
EntranceWoodfallFromSouthernSwamp,EntranceSouthernSwampFromWoodfall
EntranceWoodfallFromWoodfallTempleEntrance,EntranceWoodfallTempleFromWoodfall
EntranceWoodfallFromFairysFountain,EntranceFairysFountainFromWoodfall
EntranceWoodfallFromWoodfallTempleExit,EntranceWoodfallTemplePrisonFromWoodfall
EntranceZoraTrialFromTheMoon,EntranceTheMoonFromZoraTrial
EntranceGoronVillageFromPathtoGoronVillage,EntrancePathtoGoronVillageFromGoronVillage
EntranceGoronVillageFromGoronShrine,EntranceGoronShrineFromGoronVillage
EntranceGoronVillageFromLensCave,EntranceGrottoLensCaveFromGoronVillage
EntranceGreatBayTempleFromZoraCape,EntranceZoraCapeFromGreatBayTemple
EntranceWaterfallRapidsFromZoraCape,EntranceZoraCapeFromWaterfallRapids
EntranceBeneaththeWellFromIkanaCanyon,EntranceIkanaCanyonFromBeneaththeWell
EntranceBeneaththeWellFromAncientCastleofIkana,EntranceAncientCastleofIkanaCourtyardFromBeneaththeWell
EntranceZoraHallRoomsMikauTijosRoomFromZoraHall,EntranceZoraHallFromMikauTijosRoom
EntranceZoraHallRoomsJapasRoomFromZoraHall,EntranceZoraHallFromJapasRoom
EntranceZoraHallRoomsLulusRoomFromZoraHall,EntranceZoraHallFromLulusRoom
EntranceZoraHallRoomsEvansRoomFromZoraHall,EntranceZoraHallFromEvansRoom
EntranceZoraHallRoomsZoraShopFromZoraHall,EntranceZoraHallFromZoraShop
EntranceGoronGraveyardFromMountainVillage,EntranceMountainVillageFromGoronGraveyard
EntranceSakonsHideoutFromIkanaCanyon,EntranceIkanaCanyonFromSakonsHideout
EntranceMountainVillageFromMountainSmithy,EntranceMountainSmithyFromMountainVillage
EntranceMountainVillageFromPathtoGoronVillage,EntrancePathtoGoronVillageFromMountainVillage
EntranceMountainVillageFromGoronGraveyard,EntranceGoronGraveyardFromMountainVillage
EntranceMountainVillageFromPathtoSnowhead,EntrancePathtoSnowheadFromMountainVillage
EntranceMountainVillageFromPathtoMountainVillage,EntrancePathtoMountainVillageFromMountainVillage
EntrancePoeHutFromIkanaCanyon,EntranceIkanaCanyonFromPoeHut
EntranceDekuShrineFromDekuPalace,EntranceDekuPalaceFromDekuShrine
EntranceRoadtoIkanaFromTerminaField,EntranceTerminaFieldFromRoadtoIkana
EntranceRoadtoIkanaFromIkanaCanyon,EntranceIkanaCanyonFromRoadtoIkana
EntranceRoadtoIkanaFromIkanaGraveyard,EntranceIkanaGraveyardFromRoadtoIkana
EntranceSwordsmansSchoolFromWestClockTown,EntranceWestClockTownFromSwordsmansSchool
EntranceMusicBoxHouseFromIkanaCanyon,EntranceIkanaCanyonFromMusicBoxHouse
EntranceIgosduIkanasLairFromAncientCastleofIkana,EntranceAncientCastleofIkanaFromIgosduIkanasLair
EntranceTouristInformationFromSouthernSwamp,EntranceSouthernSwampFromTouristInformation
EntranceStoneTowerFromIkanaCanyon,EntranceIkanaCanyonFromStoneTower
EntranceStoneTowerFromStoneTowerTemple,EntranceStoneTowerTempleFromStoneTower
EntrancePathtoSnowheadFromMountainVillage,EntranceMountainVillageFromPathtoSnowhead
EntrancePathtoSnowheadFromSnowhead,EntranceSnowheadFromPathtoSnowhead
EntranceSnowheadFromPathtoSnowhead,EntrancePathtoSnowheadFromSnowhead
EntranceSnowheadFromSnowheadTemple,EntranceSnowheadTempleFromSnowhead
EntranceSnowheadFromFairysFountain,EntranceFairysFountainFromSnowhead
EntrancePathtoGoronVillageFromMountainVillage,EntranceMountainVillageFromPathtoGoronVillage
EntrancePathtoGoronVillageFromGoronVillage,EntranceGoronVillageFromPathtoGoronVillage
EntrancePathtoGoronVillageFromGoronRacetrack,EntranceGoronRacetrackFromPathtoGoronVillage
EntranceSecretShrineFromIkanaCanyon,EntranceIkanaCanyonFromSecretShrine
EntranceStockPotInnLowerFromEastClockTown,EntranceEastClockTownFromStockPotInnLower
EntranceStockPotInnUpperFromEastClockTown,EntranceEastClockTownFromStockPotInnUpper
EntranceClockTowerInteriorFromBeforethePortaltoTermina,EntranceBeforethePortaltoTerminaFromClockTowerInterior
EntranceClockTowerInteriorFromSouthClockTown,EntranceSouthClockTownFromClockTowerInterior
EntranceWoodsofMysteryFromSouthernSwamp,EntranceSouthernSwampFromWoodsofMystery
EntranceLinkTrialFromTheMoon,EntranceTheMoonFromLinkTrial
EntranceTheMoonFromDekuTrial,EntranceDekuTrialFromTheMoon
EntranceTheMoonFromGoronTrial,EntranceGoronTrialFromTheMoon
EntranceTheMoonFromZoraTrial,EntranceZoraTrialFromTheMoon
EntranceTheMoonFromLinkTrial,EntranceLinkTrialFromTheMoon
EntranceBombShopFromWestClockTown,EntranceWestClockTownFromBombShop
EntranceGormanTrackFromMilkRoadMain,EntranceMilkRoadFromGormanRacetrackMain
EntranceGormanTrackFromMilkRoadGated,EntranceMilkRoadFromGormanRacetrackTrack
EntranceGoronRacetrackFromPathtoGoronVillage,EntrancePathtoGoronVillageFromGoronRacetrack
EntranceEastClockTownFromTerminaField,EntranceTerminaFieldFromEastClockTown
EntranceEastClockTownFromSouthClockTownNorthern,EntranceSouthClockTownFromEastClockTownNorthern
EntranceEastClockTownFromAstralObservatory,EntranceAstralObservatoryFromEastClockTown
EntranceEastClockTownFromSouthClockTownSouthern,EntranceSouthClockTownFromEastClockTownSouthern
EntranceEastClockTownFromTreasureChestShop,EntranceTreasureChestShopFromEastClockTown
EntranceEastClockTownFromNorthClockTown,EntranceNorthClockTownFromEastClockTown
EntranceEastClockTownFromHoneyDarlingsShop,EntranceHoneyDarlingsShopFromEastClockTown
EntranceEastClockTownFromMayorsResidence,EntranceMayorsResidenceFromEastClockTown
EntranceEastClockTownFromShootingGalleryClockTown,EntranceTownShootingGalleryFromEastClockTown
EntranceEastClockTownFromStockPotInnLower,EntranceStockPotInnLowerFromEastClockTown
EntranceEastClockTownFromStockPotInnUpper,EntranceStockPotInnUpperFromEastClockTown
EntranceEastClockTownFromMilkBar,EntranceMilkBarFromEastClockTown
EntranceWestClockTownFromTerminaField,EntranceTerminaFieldFromWestClockTown
EntranceWestClockTownFromSouthClockTownSouthern,EntranceSouthClockTownFromWestClockTownSouthern
EntranceWestClockTownFromSouthClockTownNorthern,EntranceSouthClockTownFromWestClockTownNorthern
EntranceWestClockTownFromSwordsmansSchool,EntranceSwordsmansSchoolFromWestClockTown
EntranceWestClockTownFromCuriosityShop,EntranceCuriosityShopFromWestClockTown
EntranceWestClockTownFromTradingPost,EntranceTradingPostFromWestClockTown
EntranceWestClockTownFromBombShop,EntranceBombShopFromWestClockTown
EntranceWestClockTownFromPostOffice,EntrancePostOfficeFromWestClockTown
EntranceWestClockTownFromLotteryShop,EntranceLotteryShopFromWestClockTown
EntranceNorthClockTownFromTerminaField,EntranceTerminaFieldFromNorthClockTown
EntranceNorthClockTownFromEastClockTown,EntranceEastClockTownFromNorthClockTown
EntranceNorthClockTownFromSouthClockTown,EntranceSouthClockTownFromNorthClockTown
EntranceNorthClockTownFromFairysFountain,EntranceFairysFountainFromNorthClockTown
EntranceNorthClockTownFromDekuScrubPlayground,EntranceDekuScrubPlaygroundFromNorthClockTown
EntranceSouthClockTownFromClockTowerInterior,EntranceClockTowerInteriorFromSouthClockTown
EntranceSouthClockTownFromTerminaField,EntranceTerminaFieldFromSouthClockTown
EntranceSouthClockTownFromEastClockTownNorthern,EntranceEastClockTownFromSouthClockTownNorthern
EntranceSouthClockTownFromWestClockTownNorthern,EntranceWestClockTownFromSouthClockTownNorthern
EntranceSouthClockTownFromNorthClockTown,EntranceNorthClockTownFromSouthClockTown
EntranceSouthClockTownFromWestClockTownSouthern,EntranceWestClockTownFromSouthClockTownSouthern
EntranceSouthClockTownFromLaundryPool,EntranceLaundryPoolFromSouthClockTown
EntranceSouthClockTownFromEastClockTownSouthern,EntranceEastClockTownFromSouthClockTownSouthern
EntranceSouthClockTownFromClockTowerRooftop,EntranceClockTowerRooftopFromSouthClockTown
EntranceLaundryPoolFromSouthClockTown,EntranceSouthClockTownFromLaundryPool
EntranceLaundryPoolFromKafeisHideout,EntranceKafeisHideoutFromLaundryPool
EntranceStoneTowerInvertedFromStoneTowerTempleInverted,EntranceStoneTowerTempleInvertedFromStoneTowerInverted
