DictionaryName,LocationName,ItemName,LocationArea,ItemSubType,SpoilerLocation,SpoilerItem
Darunias Chamber => Death Mountain Crater Lower Local,Darunias Chamber => Death Mountain Crater Lower Local,Darunias Chamber <= Death Mountain Crater Lower Local,,Entrance,Darunias Chamber => Death Mountain Crater Lower Local,
Death Mountain => Goron City,Death Mountain => Goron City,Death Mountain <= Goron City,,Entrance,Death Mountain => Goron City,
Death Mountain => Kakariko Village Behind Gate,Death Mountain => Kakariko Village Behind Gate,Death Mountain <= Kakariko Village Behind Gate,,Entrance,Death Mountain => Kakariko Village Behind Gate,
Death Mountain Crater Lower Nearby => Darunias Chamber,Death Mountain Crater Lower Nearby => Darunias Chamber,Death Mountain Crater Lower Nearby <= Darunias Chamber,,Entrance,Death Mountain Crater Lower Nearby => Darunias Chamber,
Death Mountain Crater Upper Nearby => Death Mountain Summit,Death Mountain Crater Upper Nearby => Death Mountain Summit,Death Mountain Crater Upper Nearby <= Death Mountain Summit,,Entrance,Death Mountain Crater Upper Nearby => Death Mountain Summit,
Death Mountain Summit => Death Mountain Crater Upper Local,Death Mountain Summit => Death Mountain Crater Upper Local,Death Mountain Summit <= Death Mountain Crater Upper Local,,Entrance,Death Mountain Summit => Death Mountain Crater Upper Local,
Desert Colossus => Haunted Wasteland Near Colossus,Desert Colossus => Haunted Wasteland Near Colossus,Desert Colossus <= Haunted Wasteland Near Colossus,,Entrance,Desert Colossus => Haunted Wasteland Near Colossus,
Gerudo Fortress => Gerudo Valley Far Side,Gerudo Fortress => Gerudo Valley Far Side,Gerudo Fortress <= Gerudo Valley Far Side,,Entrance,Gerudo Fortress => Gerudo Valley Far Side,
Gerudo Fortress Outside Gate => Haunted Wasteland Near Fortress,Gerudo Fortress Outside Gate => Haunted Wasteland Near Fortress,Gerudo Fortress Outside Gate <= Haunted Wasteland Near Fortress,,Entrance,Gerudo Fortress Outside Gate => Haunted Wasteland Near Fortress,
Gerudo Valley => Hyrule Field,Gerudo Valley => Hyrule Field,Gerudo Valley <= Hyrule Field,,Entrance,Gerudo Valley => Hyrule Field,
Gerudo Valley Far Side => Gerudo Fortress,Gerudo Valley Far Side => Gerudo Fortress,Gerudo Valley Far Side <= Gerudo Fortress,,Entrance,Gerudo Valley Far Side => Gerudo Fortress,
Gerudo Valley Lower Stream => Lake Hylia,Gerudo Valley Lower Stream => Lake Hylia,Gerudo Valley Lower Stream <= Lake Hylia,,Entrance,Gerudo Valley Lower Stream => Lake Hylia,
Goron City => Death Mountain,Goron City => Death Mountain,Goron City <= Death Mountain,,Entrance,Goron City => Death Mountain,
Goron City Woods Warp => Lost Woods,Goron City Woods Warp => Lost Woods,Goron City Woods Warp <= Lost Woods,,Entrance,Goron City Woods Warp => Lost Woods,
Graveyard => Kakariko Village,Graveyard => Kakariko Village,Graveyard <= Kakariko Village,,Entrance,Graveyard => Kakariko Village,
Haunted Wasteland Near Colossus => Desert Colossus,Haunted Wasteland Near Colossus => Desert Colossus,Haunted Wasteland Near Colossus <= Desert Colossus,,Entrance,Haunted Wasteland Near Colossus => Desert Colossus,
Haunted Wasteland Near Fortress => Gerudo Fortress Outside Gate,Haunted Wasteland Near Fortress => Gerudo Fortress Outside Gate,Haunted Wasteland Near Fortress <= Gerudo Fortress Outside Gate,,Entrance,Haunted Wasteland Near Fortress => Gerudo Fortress Outside Gate,
Hyrule Field => Castle Town Entrance,Hyrule Field => Castle Town Entrance,Hyrule Field <= Castle Town Entrance,,Entrance,Hyrule Field => Castle Town Entrance,
Hyrule Field => Gerudo Valley,Hyrule Field => Gerudo Valley,Hyrule Field <= Gerudo Valley,,Entrance,Hyrule Field => Gerudo Valley,
Hyrule Field => Kakariko Village,Hyrule Field => Kakariko Village,Hyrule Field <= Kakariko Village,,Entrance,Hyrule Field => Kakariko Village,
Hyrule Field => Lake Hylia,Hyrule Field => Lake Hylia,Hyrule Field <= Lake Hylia,,Entrance,Hyrule Field => Lake Hylia,
Hyrule Field => Lon Lon Ranch,Hyrule Field => Lon Lon Ranch,Hyrule Field <= Lon Lon Ranch,,Entrance,Hyrule Field => Lon Lon Ranch,
Hyrule Field => Lost Woods Bridge,Hyrule Field => Lost Woods Bridge,Hyrule Field <= Lost Woods Bridge,,Entrance,Hyrule Field => Lost Woods Bridge,
Hyrule Field => Zora River Front,Hyrule Field => Zora River Front,Hyrule Field <= Zora River Front,,Entrance,Hyrule Field => Zora River Front,
Kakariko Village => Graveyard,Kakariko Village => Graveyard,Kakariko Village <= Graveyard,,Entrance,Kakariko Village => Graveyard,
Kakariko Village => Hyrule Field,Kakariko Village => Hyrule Field,Kakariko Village <= Hyrule Field,,Entrance,Kakariko Village => Hyrule Field,
Kakariko Village Behind Gate => Death Mountain,Kakariko Village Behind Gate => Death Mountain,Kakariko Village Behind Gate <= Death Mountain,,Entrance,Kakariko Village Behind Gate => Death Mountain,
Kokiri Forest => Lost Woods,Kokiri Forest => Lost Woods,Kokiri Forest <= Lost Woods,,Entrance,Kokiri Forest => Lost Woods,
Kokiri Forest => Lost Woods Bridge From Forest,Kokiri Forest => Lost Woods Bridge From Forest,Kokiri Forest <= Lost Woods Bridge From Forest,,Entrance,Kokiri Forest => Lost Woods Bridge From Forest,
Lake Hylia => Hyrule Field,Lake Hylia => Hyrule Field,Lake Hylia <= Hyrule Field,,Entrance,Lake Hylia => Hyrule Field,
Lake Hylia => Zoras Domain,Lake Hylia => Zoras Domain,Lake Hylia <= Zoras Domain,,Entrance,Lake Hylia => Zoras Domain,
Lon Lon Ranch => Hyrule Field,Lon Lon Ranch => Hyrule Field,Lon Lon Ranch <= Hyrule Field,,Entrance,Lon Lon Ranch => Hyrule Field,
Lost Woods => Goron City Woods Warp,Lost Woods => Goron City Woods Warp,Lost Woods <= Goron City Woods Warp,,Entrance,Lost Woods => Goron City Woods Warp,
Lost Woods => Zora River,Lost Woods => Zora River,Lost Woods <= Zora River,,Entrance,Lost Woods => Zora River,
Lost Woods Beyond Mido => Sacred Forest Meadow Entryway,Lost Woods Beyond Mido => Sacred Forest Meadow Entryway,Lost Woods Beyond Mido <= Sacred Forest Meadow Entryway,,Entrance,Lost Woods Beyond Mido => Sacred Forest Meadow Entryway,
Lost Woods Bridge => Hyrule Field,Lost Woods Bridge => Hyrule Field,Lost Woods Bridge <= Hyrule Field,,Entrance,Lost Woods Bridge => Hyrule Field,
Lost Woods Bridge => Kokiri Forest,Lost Woods Bridge => Kokiri Forest,Lost Woods Bridge <= Kokiri Forest,,Entrance,Lost Woods Bridge => Kokiri Forest,
Lost Woods Forest Exit => Kokiri Forest,Lost Woods Forest Exit => Kokiri Forest,Lost Woods Forest Exit <= Kokiri Forest,,Entrance,Lost Woods Forest Exit => Kokiri Forest,
Sacred Forest Meadow Entryway => Lost Woods Beyond Mido,Sacred Forest Meadow Entryway => Lost Woods Beyond Mido,Sacred Forest Meadow Entryway <= Lost Woods Beyond Mido,,Entrance,Sacred Forest Meadow Entryway => Lost Woods Beyond Mido,
Temple of Time Exterior => Castle Town,Temple of Time Exterior => Castle Town,Temple of Time Exterior <= Castle Town,,Entrance,Temple of Time Exterior => Castle Town,
Zora River => Lost Woods,Zora River => Lost Woods,Zora River <= Lost Woods,,Entrance,Zora River => Lost Woods,
Zora River Behind Waterfall => Zoras Domain,Zora River Behind Waterfall => Zoras Domain,Zora River Behind Waterfall <= Zoras Domain,,Entrance,Zora River Behind Waterfall => Zoras Domain,
Zora River Front => Hyrule Field,Zora River Front => Hyrule Field,Zora River Front <= Hyrule Field,,Entrance,Zora River Front => Hyrule Field,
Zoras Domain => Lake Hylia,Zoras Domain => Lake Hylia,Zoras Domain <= Lake Hylia,,Entrance,Zoras Domain => Lake Hylia,
Zoras Domain => Zora River Behind Waterfall,Zoras Domain => Zora River Behind Waterfall,Zoras Domain <= Zora River Behind Waterfall,,Entrance,Zoras Domain => Zora River Behind Waterfall,
Zoras Domain Behind King Zora => Zoras Fountain,Zoras Domain Behind King Zora => Zoras Fountain,Zoras Domain Behind King Zora <= Zoras Fountain,,Entrance,Zoras Domain Behind King Zora => Zoras Fountain,
Zoras Fountain => Zoras Domain Behind King Zora,Zoras Fountain => Zoras Domain Behind King Zora,Zoras Fountain <= Zoras Domain Behind King Zora,,Entrance,Zoras Fountain => Zoras Domain Behind King Zora,
Bottom of the Well => Kakariko Village,Bottom of the Well => Kakariko Village,Bottom of the Well <= Kakariko Village,,Entrance,Bottom of the Well => Kakariko Village,
Death Mountain => Dodongos Cavern Beginning,Death Mountain => Dodongos Cavern Beginning,Death Mountain <= Dodongos Cavern Beginning,,Entrance,Death Mountain => Dodongos Cavern Beginning,
Deku Tree Lobby => Outside Deku Tree,Deku Tree Lobby => Outside Deku Tree,Deku Tree Lobby <= Outside Deku Tree,,Entrance,Deku Tree Lobby => Outside Deku Tree,
Desert Colossus => Spirit Temple Lobby,Desert Colossus => Spirit Temple Lobby,Desert Colossus <= Spirit Temple Lobby,,Entrance,Desert Colossus => Spirit Temple Lobby,
Dodongos Cavern Beginning => Death Mountain,Dodongos Cavern Beginning => Death Mountain,Dodongos Cavern Beginning <= Death Mountain,,Entrance,Dodongos Cavern Beginning => Death Mountain,
Fire Temple Entrance => Fire Temple Lower,Fire Temple Entrance => Fire Temple Lower,Fire Temple Entrance <= Fire Temple Lower,,Entrance,Fire Temple Entrance => Fire Temple Lower,
Fire Temple Lower => Fire Temple Entrance,Fire Temple Lower => Fire Temple Entrance,Fire Temple Lower <= Fire Temple Entrance,,Entrance,Fire Temple Lower => Fire Temple Entrance,
Forest Temple Entrance Ledge => Forest Temple Lobby,Forest Temple Entrance Ledge => Forest Temple Lobby,Forest Temple Entrance Ledge <= Forest Temple Lobby,,Entrance,Forest Temple Entrance Ledge => Forest Temple Lobby,
Forest Temple Lobby => Forest Temple Entrance Ledge,Forest Temple Lobby => Forest Temple Entrance Ledge,Forest Temple Lobby <= Forest Temple Entrance Ledge,,Entrance,Forest Temple Lobby => Forest Temple Entrance Ledge,
Gerudo Fortress => Gerudo Training Grounds Lobby,Gerudo Fortress => Gerudo Training Grounds Lobby,Gerudo Fortress <= Gerudo Training Grounds Lobby,,Entrance,Gerudo Fortress => Gerudo Training Grounds Lobby,
Gerudo Training Grounds Lobby => Gerudo Fortress,Gerudo Training Grounds Lobby => Gerudo Fortress,Gerudo Training Grounds Lobby <= Gerudo Fortress,,Entrance,Gerudo Training Grounds Lobby => Gerudo Fortress,
Ice Cavern Beginning => Zoras Fountain Ice Ledge,Ice Cavern Beginning => Zoras Fountain Ice Ledge,Ice Cavern Beginning <= Zoras Fountain Ice Ledge,,Entrance,Ice Cavern Beginning => Zoras Fountain Ice Ledge,
Jabu Jabus Belly Beginning => Zoras Fountain,Jabu Jabus Belly Beginning => Zoras Fountain,Jabu Jabus Belly Beginning <= Zoras Fountain,,Entrance,Jabu Jabus Belly Beginning => Zoras Fountain,
Kakariko Village => Bottom of the Well,Kakariko Village => Bottom of the Well,Kakariko Village <= Bottom of the Well,,Entrance,Kakariko Village => Bottom of the Well,
Lake Hylia => Water Temple Lobby,Lake Hylia => Water Temple Lobby,Lake Hylia <= Water Temple Lobby,,Entrance,Lake Hylia => Water Temple Lobby,
Outside Deku Tree => Deku Tree Lobby,Outside Deku Tree => Deku Tree Lobby,Outside Deku Tree <= Deku Tree Lobby,,Entrance,Outside Deku Tree => Deku Tree Lobby,
Shadow Temple Entryway => Shadow Temple Warp Region,Shadow Temple Entryway => Shadow Temple Warp Region,Shadow Temple Entryway <= Shadow Temple Warp Region,,Entrance,Shadow Temple Entryway => Shadow Temple Warp Region,
Shadow Temple Warp Region => Shadow Temple Entryway,Shadow Temple Warp Region => Shadow Temple Entryway,Shadow Temple Warp Region <= Shadow Temple Entryway,,Entrance,Shadow Temple Warp Region => Shadow Temple Entryway,
Spirit Temple Lobby => Desert Colossus From Spirit Lobby,Spirit Temple Lobby => Desert Colossus From Spirit Lobby,Spirit Temple Lobby <= Desert Colossus From Spirit Lobby,,Entrance,Spirit Temple Lobby => Desert Colossus From Spirit Lobby,
Water Temple Lobby => Lake Hylia,Water Temple Lobby => Lake Hylia,Water Temple Lobby <= Lake Hylia,,Entrance,Water Temple Lobby => Lake Hylia,
Zoras Fountain => Jabu Jabus Belly Beginning,Zoras Fountain => Jabu Jabus Belly Beginning,Zoras Fountain <= Jabu Jabus Belly Beginning,,Entrance,Zoras Fountain => Jabu Jabus Belly Beginning,
Zoras Fountain Ice Ledge => Ice Cavern Beginning,Zoras Fountain Ice Ledge => Ice Cavern Beginning,Zoras Fountain Ice Ledge <= Ice Cavern Beginning,,Entrance,Zoras Fountain Ice Ledge => Ice Cavern Beginning,
Carpenter Boss House => Kakariko Village,Carpenter Boss House => Kakariko Village,Carpenter Boss House <= Kakariko Village,,Entrance,Carpenter Boss House => Kakariko Village,
Carpenter Tent => Gerudo Valley Far Side,Carpenter Tent => Gerudo Valley Far Side,Carpenter Tent <= Gerudo Valley Far Side,,Entrance,Carpenter Tent => Gerudo Valley Far Side,
Castle Town => Castle Town Bazaar,Castle Town => Castle Town Bazaar,Castle Town <= Castle Town Bazaar,,Entrance,Castle Town => Castle Town Bazaar,
Castle Town => Castle Town Bombchu Bowling,Castle Town => Castle Town Bombchu Bowling,Castle Town <= Castle Town Bombchu Bowling,,Entrance,Castle Town => Castle Town Bombchu Bowling,
Castle Town => Castle Town Mask Shop,Castle Town => Castle Town Mask Shop,Castle Town <= Castle Town Mask Shop,,Entrance,Castle Town => Castle Town Mask Shop,
Castle Town => Castle Town Potion Shop,Castle Town => Castle Town Potion Shop,Castle Town <= Castle Town Potion Shop,,Entrance,Castle Town => Castle Town Potion Shop,
Castle Town => Castle Town Shooting Gallery,Castle Town => Castle Town Shooting Gallery,Castle Town <= Castle Town Shooting Gallery,,Entrance,Castle Town => Castle Town Shooting Gallery,
Castle Town => Castle Town Treasure Chest Game,Castle Town => Castle Town Treasure Chest Game,Castle Town <= Castle Town Treasure Chest Game,,Entrance,Castle Town => Castle Town Treasure Chest Game,
Castle Town Back Alley => Castle Town Bombchu Shop,Castle Town Back Alley => Castle Town Bombchu Shop,Castle Town Back Alley <= Castle Town Bombchu Shop,,Entrance,Castle Town Back Alley => Castle Town Bombchu Shop,
Castle Town Back Alley => Castle Town Man in Green House,Castle Town Back Alley => Castle Town Man in Green House,Castle Town Back Alley <= Castle Town Man in Green House,,Entrance,Castle Town Back Alley => Castle Town Man in Green House,
Castle Town Bazaar => Castle Town,Castle Town Bazaar => Castle Town,Castle Town Bazaar <= Castle Town,,Entrance,Castle Town Bazaar => Castle Town,
Castle Town Bombchu Bowling => Castle Town,Castle Town Bombchu Bowling => Castle Town,Castle Town Bombchu Bowling <= Castle Town,,Entrance,Castle Town Bombchu Bowling => Castle Town,
Castle Town Bombchu Shop => Castle Town Back Alley,Castle Town Bombchu Shop => Castle Town Back Alley,Castle Town Bombchu Shop <= Castle Town Back Alley,,Entrance,Castle Town Bombchu Shop => Castle Town Back Alley,
Castle Town Entrance => Castle Town Rupee Room,Castle Town Entrance => Castle Town Rupee Room,Castle Town Entrance <= Castle Town Rupee Room,,Entrance,Castle Town Entrance => Castle Town Rupee Room,
Castle Town Man in Green House => Castle Town Back Alley,Castle Town Man in Green House => Castle Town Back Alley,Castle Town Man in Green House <= Castle Town Back Alley,,Entrance,Castle Town Man in Green House => Castle Town Back Alley,
Castle Town Mask Shop => Castle Town,Castle Town Mask Shop => Castle Town,Castle Town Mask Shop <= Castle Town,,Entrance,Castle Town Mask Shop => Castle Town,
Castle Town Potion Shop => Castle Town,Castle Town Potion Shop => Castle Town,Castle Town Potion Shop <= Castle Town,,Entrance,Castle Town Potion Shop => Castle Town,
Castle Town Rupee Room => Castle Town Entrance,Castle Town Rupee Room => Castle Town Entrance,Castle Town Rupee Room <= Castle Town Entrance,,Entrance,Castle Town Rupee Room => Castle Town Entrance,
Castle Town Shooting Gallery => Castle Town,Castle Town Shooting Gallery => Castle Town,Castle Town Shooting Gallery <= Castle Town,,Entrance,Castle Town Shooting Gallery => Castle Town,
Castle Town Treasure Chest Game => Castle Town,Castle Town Treasure Chest Game => Castle Town,Castle Town Treasure Chest Game <= Castle Town,,Entrance,Castle Town Treasure Chest Game => Castle Town,
Colossus Fairy => Desert Colossus,Colossus Fairy => Desert Colossus,Colossus Fairy <= Desert Colossus,,Entrance,Colossus Fairy => Desert Colossus,
Crater Fairy => Death Mountain Crater Lower Local,Crater Fairy => Death Mountain Crater Lower Local,Crater Fairy <= Death Mountain Crater Lower Local,,Entrance,Crater Fairy => Death Mountain Crater Lower Local,
Dampes House => Graveyard,Dampes House => Graveyard,Dampes House <= Graveyard,,Entrance,Dampes House => Graveyard,
Death Mountain Crater Lower Nearby => Crater Fairy,Death Mountain Crater Lower Nearby => Crater Fairy,Death Mountain Crater Lower Nearby <= Crater Fairy,,Entrance,Death Mountain Crater Lower Nearby => Crater Fairy,
Death Mountain Summit => Mountain Summit Fairy,Death Mountain Summit => Mountain Summit Fairy,Death Mountain Summit <= Mountain Summit Fairy,,Entrance,Death Mountain Summit => Mountain Summit Fairy,
Desert Colossus => Colossus Fairy,Desert Colossus => Colossus Fairy,Desert Colossus <= Colossus Fairy,,Entrance,Desert Colossus => Colossus Fairy,
Fishing Hole => Lake Hylia Fishing Island,Fishing Hole => Lake Hylia Fishing Island,Fishing Hole <= Lake Hylia Fishing Island,,Entrance,Fishing Hole => Lake Hylia Fishing Island,
Ganons Castle Fairy => Castle Grounds,Ganons Castle Fairy => Castle Grounds,Ganons Castle Fairy <= Castle Grounds,,Entrance,Ganons Castle Fairy => Castle Grounds,
Ganons Castle Grounds => Ganons Castle Fairy,Ganons Castle Grounds => Ganons Castle Fairy,Ganons Castle Grounds <= Ganons Castle Fairy,,Entrance,Ganons Castle Grounds => Ganons Castle Fairy,
Gerudo Valley Far Side => Carpenter Tent,Gerudo Valley Far Side => Carpenter Tent,Gerudo Valley Far Side <= Carpenter Tent,,Entrance,Gerudo Valley Far Side => Carpenter Tent,
Goron City => Goron Shop,Goron City => Goron Shop,Goron City <= Goron Shop,,Entrance,Goron City => Goron Shop,
Goron Shop => Goron City,Goron Shop => Goron City,Goron Shop <= Goron City,,Entrance,Goron Shop => Goron City,
Graveyard => Dampes House,Graveyard => Dampes House,Graveyard <= Dampes House,,Entrance,Graveyard => Dampes House,
House of Skulltula => Kakariko Village,House of Skulltula => Kakariko Village,House of Skulltula <= Kakariko Village,,Entrance,House of Skulltula => Kakariko Village,
House of Twins => Kokiri Forest,House of Twins => Kokiri Forest,House of Twins <= Kokiri Forest,,Entrance,House of Twins => Kokiri Forest,
Hyrule Castle Fairy => Castle Grounds,Hyrule Castle Fairy => Castle Grounds,Hyrule Castle Fairy <= Castle Grounds,,Entrance,Hyrule Castle Fairy => Castle Grounds,
Hyrule Castle Grounds => Hyrule Castle Fairy,Hyrule Castle Grounds => Hyrule Castle Fairy,Hyrule Castle Grounds <= Hyrule Castle Fairy,,Entrance,Hyrule Castle Grounds => Hyrule Castle Fairy,
Impas House => Kakariko Village,Impas House => Kakariko Village,Impas House <= Kakariko Village,,Entrance,Impas House => Kakariko Village,
Impas House Back => Kakariko Impa Ledge,Impas House Back => Kakariko Impa Ledge,Impas House Back <= Kakariko Impa Ledge,,Entrance,Impas House Back => Kakariko Impa Ledge,
Ingo Barn => Lon Lon Ranch,Ingo Barn => Lon Lon Ranch,Ingo Barn <= Lon Lon Ranch,,Entrance,Ingo Barn => Lon Lon Ranch,
Kakariko Bazaar => Kakariko Village,Kakariko Bazaar => Kakariko Village,Kakariko Bazaar <= Kakariko Village,,Entrance,Kakariko Bazaar => Kakariko Village,
Kakariko Impa Ledge => Impas House Back,Kakariko Impa Ledge => Impas House Back,Kakariko Impa Ledge <= Impas House Back,,Entrance,Kakariko Impa Ledge => Impas House Back,
Kakariko Potion Shop Back => Kakariko Village Backyard,Kakariko Potion Shop Back => Kakariko Village Backyard,Kakariko Potion Shop Back <= Kakariko Village Backyard,,Entrance,Kakariko Potion Shop Back => Kakariko Village Backyard,
Kakariko Potion Shop Front => Kakariko Village,Kakariko Potion Shop Front => Kakariko Village,Kakariko Potion Shop Front <= Kakariko Village,,Entrance,Kakariko Potion Shop Front => Kakariko Village,
Kakariko Shooting Gallery => Kakariko Village,Kakariko Shooting Gallery => Kakariko Village,Kakariko Shooting Gallery <= Kakariko Village,,Entrance,Kakariko Shooting Gallery => Kakariko Village,
Kakariko Village => Carpenter Boss House,Kakariko Village => Carpenter Boss House,Kakariko Village <= Carpenter Boss House,,Entrance,Kakariko Village => Carpenter Boss House,
Kakariko Village => House of Skulltula,Kakariko Village => House of Skulltula,Kakariko Village <= House of Skulltula,,Entrance,Kakariko Village => House of Skulltula,
Kakariko Village => Impas House,Kakariko Village => Impas House,Kakariko Village <= Impas House,,Entrance,Kakariko Village => Impas House,
Kakariko Village => Kakariko Bazaar,Kakariko Village => Kakariko Bazaar,Kakariko Village <= Kakariko Bazaar,,Entrance,Kakariko Village => Kakariko Bazaar,
Kakariko Village => Kakariko Potion Shop Front,Kakariko Village => Kakariko Potion Shop Front,Kakariko Village <= Kakariko Potion Shop Front,,Entrance,Kakariko Village => Kakariko Potion Shop Front,
Kakariko Village => Kakariko Shooting Gallery,Kakariko Village => Kakariko Shooting Gallery,Kakariko Village <= Kakariko Shooting Gallery,,Entrance,Kakariko Village => Kakariko Shooting Gallery,
Kakariko Village => Windmill,Kakariko Village => Windmill,Kakariko Village <= Windmill,,Entrance,Kakariko Village => Windmill,
Kakariko Village Backyard => Kakariko Potion Shop Back,Kakariko Village Backyard => Kakariko Potion Shop Back,Kakariko Village Backyard <= Kakariko Potion Shop Back,,Entrance,Kakariko Village Backyard => Kakariko Potion Shop Back,
Kakariko Village Backyard => Odd Medicine Building,Kakariko Village Backyard => Odd Medicine Building,Kakariko Village Backyard <= Odd Medicine Building,,Entrance,Kakariko Village Backyard => Odd Medicine Building,
Know It All House => Kokiri Forest,Know It All House => Kokiri Forest,Know It All House <= Kokiri Forest,,Entrance,Know It All House => Kokiri Forest,
Kokiri Forest => House of Twins,Kokiri Forest => House of Twins,Kokiri Forest <= House of Twins,,Entrance,Kokiri Forest => House of Twins,
Kokiri Forest => Know It All House,Kokiri Forest => Know It All House,Kokiri Forest <= Know It All House,,Entrance,Kokiri Forest => Know It All House,
Kokiri Forest => Kokiri Shop,Kokiri Forest => Kokiri Shop,Kokiri Forest <= Kokiri Shop,,Entrance,Kokiri Forest => Kokiri Shop,
Kokiri Forest => Links House,Kokiri Forest => Links House,Kokiri Forest <= Links House,,Entrance,Kokiri Forest => Links House,
Kokiri Forest => Mido House,Kokiri Forest => Mido House,Kokiri Forest <= Mido House,,Entrance,Kokiri Forest => Mido House,
Kokiri Forest => Saria House,Kokiri Forest => Saria House,Kokiri Forest <= Saria House,,Entrance,Kokiri Forest => Saria House,
Kokiri Shop => Kokiri Forest,Kokiri Shop => Kokiri Forest,Kokiri Shop <= Kokiri Forest,,Entrance,Kokiri Shop => Kokiri Forest,
Lake Hylia => Lake Hylia Lab,Lake Hylia => Lake Hylia Lab,Lake Hylia <= Lake Hylia Lab,,Entrance,Lake Hylia => Lake Hylia Lab,
Lake Hylia Fishing Island => Fishing Hole,Lake Hylia Fishing Island => Fishing Hole,Lake Hylia Fishing Island <= Fishing Hole,,Entrance,Lake Hylia Fishing Island => Fishing Hole,
Lake Hylia Lab => Lake Hylia,Lake Hylia Lab => Lake Hylia,Lake Hylia Lab <= Lake Hylia,,Entrance,Lake Hylia Lab => Lake Hylia,
Links House => Kokiri Forest,Links House => Kokiri Forest,Links House <= Kokiri Forest,,Entrance,Links House => Kokiri Forest,
Lon Lon Corner Tower => Lon Lon Ranch,Lon Lon Corner Tower => Lon Lon Ranch,Lon Lon Corner Tower <= Lon Lon Ranch,,Entrance,Lon Lon Corner Tower => Lon Lon Ranch,
Lon Lon Ranch => Ingo Barn,Lon Lon Ranch => Ingo Barn,Lon Lon Ranch <= Ingo Barn,,Entrance,Lon Lon Ranch => Ingo Barn,
Lon Lon Ranch => Lon Lon Corner Tower,Lon Lon Ranch => Lon Lon Corner Tower,Lon Lon Ranch <= Lon Lon Corner Tower,,Entrance,Lon Lon Ranch => Lon Lon Corner Tower,
Lon Lon Ranch => Talon House,Lon Lon Ranch => Talon House,Lon Lon Ranch <= Talon House,,Entrance,Lon Lon Ranch => Talon House,
Mido House => Kokiri Forest,Mido House => Kokiri Forest,Mido House <= Kokiri Forest,,Entrance,Mido House => Kokiri Forest,
Mountain Summit Fairy => Death Mountain Summit,Mountain Summit Fairy => Death Mountain Summit,Mountain Summit Fairy <= Death Mountain Summit,,Entrance,Mountain Summit Fairy => Death Mountain Summit,
Odd Medicine Building => Kakariko Village Backyard,Odd Medicine Building => Kakariko Village Backyard,Odd Medicine Building <= Kakariko Village Backyard,,Entrance,Odd Medicine Building => Kakariko Village Backyard,
