DictionaryName,LocationName,ItemName,LocationArea,ItemSubType,SpoilerLocation,SpoilerItem,EntrancePair
UpgradeBigQuiver,Town Archery #1,Large Quiver,East Clock Town,Item,Town Archery #1,Large Quiver|Bow Upgrade,
UpgradeBiggestQuiver,Swamp Archery #1,Largest Quiver,Road to Southern Swamp,Item,Swamp Archery #1,Largest Quiver|Bow Upgrade,
UpgradeBigBombBag,Big Bomb Bag Purchase,Big Bomb Bag,West Clock Town,Item,Big Bomb Bag Purchase,Big Bomb Bag|Bomb Bag Upgrade,
UpgradeBiggestBombBag,Biggest Bomb Bag Purchase,Biggest Bomb Bag,Goron Village,Item,Biggest Bomb Bag Purchase,Biggest Bomb Bag|Bomb Bag Upgrade,
UpgradeAdultWallet,Bank Reward #1,Adult Wallet,West Clock Town,Item,Bank Reward #1,Adult Wallet|Wallet Upgrade,
UpgradeGiantWallet,Ocean Spider House Day 1 Reward,Giant Wallet,Great Bay Coast,Item,Ocean Spider House Day 1 Reward,Giant Wallet|Wallet Upgrade,
TradeItemMoonTear,Astronomy Telescope,Moon's Tear,Termina Field,Item,Astronomy Telescope,Moon's Tear,
TradeItemLandDeed,Clock Town Scrub Trade,Land Title Deed,South Clock Town,Item,Clock Town Scrub Trade,Land Title Deed,
TradeItemSwampDeed,Swamp Scrub Trade,Swamp Title Deed,Southern Swamp,Item,Swamp Scrub Trade,Swamp Title Deed,
TradeItemMountainDeed,Mountain Scrub Trade,Mountain Title Deed,Goron Village,Item,Mountain Scrub Trade,Mountain Title Deed,
TradeItemOceanDeed,Ocean Scrub Trade,Ocean Title Deed,Zora Hall,Item,Ocean Scrub Trade,Ocean Title Deed,
TradeItemRoomKey,Inn Reservation,Room Key,Stock Pot Inn,Item,Inn Reservation,Room Key,
TradeItemKafeiLetter,Midnight Meeting,Letter to Kafei,Stock Pot Inn,Item,Midnight Meeting,Letter to Kafei,
TradeItemPendant,Kafei,Pendant of Memories,Laundry Pool,Item,Kafei,Pendant of Memories,
TradeItemMamaLetter,Curiosity Shop Man #2,Letter to Mama,Laundry Pool,Item,Curiosity Shop Man #2,Letter to Mama,
HeartPieceNotebookMayor,Mayor,Piece of Heart,East Clock Town,Item,Mayor,Piece of Heart,
HeartPieceNotebookPostman,Postman's Game,Piece of Heart,West Clock Town,Item,Postman's Game,Piece of Heart,
HeartPieceNotebookRosa,Rosa Sisters,Piece of Heart,West Clock Town,Item,Rosa Sisters,Piece of Heart,
HeartPieceNotebookHand,Toilet Hand,Piece of Heart,Stock Pot Inn,Item,Toilet Hand,Piece of Heart,
HeartPieceNotebookGran1,Grandma Short Story,Piece of Heart,Stock Pot Inn,Item,Grandma Short Story,Piece of Heart,
HeartPieceNotebookGran2,Grandma Long Story,Piece of Heart,Stock Pot Inn,Item,Grandma Long Story,Piece of Heart,
HeartPieceKeatonQuiz,Keaton Quiz,Piece of Heart,North Clock Town,Item,Keaton Quiz,Piece of Heart,
HeartPieceDekuPlayground,Deku Playground Three Days,Piece of Heart,North Clock Town,Item,Deku Playground Three Days,Piece of Heart,
HeartPieceTownArchery,Town Archery #2,Piece of Heart,East Clock Town,Item,Town Archery #2,Piece of Heart,
HeartPieceHoneyAndDarling,Honey and Darling Three Days,Piece of Heart,East Clock Town,Item,Honey and Darling Three Days,Piece of Heart,
HeartPieceSwordsmanSchool,Swordsman's School,Piece of Heart,West Clock Town,Item,Swordsman's School,Piece of Heart,
HeartPiecePostBox,Postbox,Piece of Heart,South Clock Town,Item,Postbox,Piece of Heart,
HeartPieceTerminaGossipStones,Gossip Stones,Piece of Heart,Termina Field,Item,Gossip Stones,Piece of Heart,
HeartPieceTerminaBusinessScrub,Business Scrub Purchase,Piece of Heart,Termina Field,Item,Business Scrub Purchase,Piece of Heart,
HeartPieceSwampArchery,Swamp Archery #2,Piece of Heart,Road to Southern Swamp,Item,Swamp Archery #2,Piece of Heart,
HeartPiecePictobox,Pictograph Contest Winner,Piece of Heart,Southern Swamp,Item,Pictograph Contest Winner,Piece of Heart,
HeartPieceBoatArchery,Boat Archery,Piece of Heart,Southern Swamp,Item,Boat Archery,Piece of Heart,
HeartPieceChoir,Frog Choir,Piece of Heart,Mountain Village,Item,Frog Choir,Piece of Heart,
HeartPieceBeaverRace,Beaver Race #2,Piece of Heart,Zora Cape,Item,Beaver Race #2,Piece of Heart,
HeartPieceSeaHorse,Seahorses,Piece of Heart,Pinnacle Rock,Item,Seahorses,Piece of Heart,
HeartPieceFishermanGame,Fisherman Game,Piece of Heart,Great Bay Coast,Item,Fisherman Game,Piece of Heart,
HeartPieceEvan,Evan,Piece of Heart,Zora Hall,Item,Evan,Piece of Heart,
HeartPieceDogRace,Dog Race,Piece of Heart,Romani Ranch,Item,Dog Race,Piece of Heart,
HeartPiecePoeHut,Poe Hut,Piece of Heart,Ikana Canyon,Item,Poe Hut,Piece of Heart,
HeartPieceTreasureChestGame,Treasure Chest Game Goron,Piece of Heart,East Clock Town,Item,Treasure Chest Game Goron,Piece of Heart,
HeartPiecePeahat,Peahat Grotto,Piece of Heart,Termina Field,Item,Peahat Grotto,Piece of Heart,
HeartPieceDodong,Dodongo Grotto,Piece of Heart,Termina Field,Item,Dodongo Grotto,Piece of Heart,
HeartPieceWoodFallChest,Woodfall Bridge Chest,Piece of Heart,Woodfall,Item,Woodfall Bridge Chest,Piece of Heart,
HeartPieceTwinIslandsChest,Twin Islands Underwater Ramp Chest,Piece of Heart,Twin Islands,Item,Twin Islands Underwater Ramp Chest,Piece of Heart,
HeartPieceOceanSpiderHouse,Ocean Spider House Chest,Piece of Heart,Great Bay Coast,Item,Ocean Spider House Chest,Piece of Heart,
HeartPieceKnuckle,Iron Knuckle Chest,Piece of Heart,Ikana Graveyard,Item,Iron Knuckle Chest,Piece of Heart,
MaskPostmanHat,Postman's Freedom Reward,Postman's Hat,East Clock Town,Item,Postman's Freedom Reward,Postman's Hat,
MaskAllNight,All Night Mask Purchase,All Night Mask,West Clock Town,Item,All Night Mask Purchase|All-Night Mask Purchase,All Night Mask,
MaskBlast,Old Lady,Blast Mask,North Clock Town,Item,Old Lady,Blast Mask,
MaskStone,Invisible Soldier,Stone Mask,Road to Ikana,Item,Invisible Soldier,Stone Mask,
MaskGreatFairy,Town Great Fairy,Great Fairy's Mask,North Clock Town,Item,Town Great Fairy,Great Fairy's Mask,
MaskKeaton,Curiosity Shop Man #1,Keaton Mask,Laundry Pool,Item,Curiosity Shop Man #1,Keaton Mask,
MaskBremen,Guru Guru,Bremen Mask,Laundry Pool,Item,Guru Guru,Bremen Mask,
MaskBunnyHood,Grog,Bunny Hood,Romani Ranch,Item,Grog,Bunny Hood,
MaskDonGero,Hungry Goron,Don Gero's Mask,Mountain Village,Item,Hungry Goron,Don Gero's Mask,
MaskScents,Butler,Mask of Scents,Deku Palace,Item,Butler,Mask of Scents,
MaskRomani,Cremia,Romani's Mask,Romani Ranch,Item,Cremia,Romani's Mask,
MaskCircusLeader,Gorman,Circus Leader's Mask,East Clock Town,Item,Gorman,Circus Leader's Mask,
MaskKafei,Madame Aroma in Office,Kafei's Mask,East Clock Town,Item,Madame Aroma in Office,Kafei's Mask,
MaskCouple,Anju and Kafei,Couple's Mask,Stock Pot Inn,Item,Anju and Kafei,Couple's Mask,
MaskTruth,Swamp Spider House Reward,Mask of Truth,Southern Swamp,Item,Swamp Spider House Reward,Mask of Truth,
MaskKamaro,Kamaro,Kamaro's Mask,Termina Field,Item,Kamaro,Kamaro's Mask,
MaskGibdo,Pamela's Father,Gibdo Mask,Ikana Canyon,Item,Pamela's Father,Gibdo Mask,
MaskGaro,Gorman Bros Race,Garo's Mask,Milk Road,Item,Gorman Bros Race,Garo's Mask,
MaskCaptainHat,Captain Keeta's Chest,Captain's Hat,Ikana Graveyard,Item,Captain Keeta's Chest,Captain's Hat,
MaskGiant,Giant's Mask Chest,Giant's Mask,Stone Tower Temple,Item,Giant's Mask Chest,Giant's Mask,
MaskGoron,Darmani,Goron Mask,Mountain Village,Item,Darmani,Goron Mask,
MaskZora,Mikau,Zora Mask,Great Bay Coast,Item,Mikau,Zora Mask,
SongHealing,Starting Song,Song of Healing,Misc,Item,Starting Song,Song of Healing,
ItemOcarina,Skull Kid Item,Ocarina of Time,The Moon,Item,,,
SongTime,Skull Kid Song,Song of Time,The Moon,Item,,,
SongSoaring,Swamp Music Statue,Song of Soaring,Southern Swamp,Item,Swamp Music Statue,Song of Soaring,
SongEpona,Romani's Game,Epona's Song,Romani Ranch,Item,Romani's Game,Epona's Song,
SongStorms,Day 1 Grave Tablet,Song of Storms,Ikana Graveyard,Item,Day 1 Grave Tablet,Song of Storms,
SongSonata,Imprisoned Monkey,Sonata of Awakening,Deku Palace,Item,Imprisoned Monkey,Sonata of Awakening,
SongLullaby,Baby Goron,Goron Lullaby,Goron Village,Item,Baby Goron,Goron Lullaby,
SongNewWaveBossaNova,Baby Zoras,New Wave Bossa Nova,Great Bay Coast,Item,Baby Zoras,New Wave Bossa Nova,
SongElegy,Ikana King,Elegy of Emptiness,Ikana Castle,Item,Ikana King,Elegy of Emptiness,
SongOath,Boss Blue Warp,Oath to Order,Misc,Item,Boss Blue Warp,Oath to Order,
AreaWoodFallTempleAccess,Woodfall Temple Entrance,Woodfall  Temple,Dungeon Entrance,Dungeon Entrance,Woodfall,Woodfall,
AreaSnowheadTempleAccess,Snowhead  Temple  Entrance,Snowhead  Temple,Dungeon Entrance,Dungeon Entrance,Snowhead,Snowhead,
AreaGreatBayTempleAccess,Great Bay  Temple  Entrance,Great Bay  Temple,Dungeon Entrance,Dungeon Entrance,Great Bay,Great Bay,
AreaInvertedStoneTowerTempleAccess,Inverted Stone Tower  Temple  Entrance,Inverted Stone Tower  Temple,Dungeon Entrance,Dungeon Entrance,Inverted Stone Tower,Inverted Stone Tower,
ItemWoodfallMap,Woodfall Map Chest,Woodfall Map,Woodfall Temple,Item,Woodfall Map Chest,Woodfall Map,
ItemWoodfallCompass,Woodfall Compass Chest,Woodfall Compass,Woodfall Temple,Item,Woodfall Compass Chest,Woodfall Compass,
ItemWoodfallBossKey,Woodfall Boss Key Chest,Woodfall Boss Key,Woodfall Temple,Item,Woodfall Boss Key Chest,Woodfall Boss Key,
ItemWoodfallKey1,Woodfall Small Key Chest,Woodfall Small Key,Woodfall Temple,Item,Woodfall Small Key Chest,Woodfall Small Key,
ItemSnowheadMap,Snowhead Map Chest,Snowhead Map,Snowhead Temple,Item,Snowhead Map Chest,Snowhead Map,
ItemSnowheadCompass,Snowhead Compass Chest,Snowhead Compass,Snowhead Temple,Item,Snowhead Compass Chest,Snowhead Compass,
ItemSnowheadBossKey,Snowhead Boss Key Chest,Snowhead Boss Key,Snowhead Temple,Item,Snowhead Boss Key Chest,Snowhead Boss Key,
ItemSnowheadKey1,Snowhead Block Room Chest,Snowhead Small Key,Snowhead Temple,Item,Snowhead Block Room Chest,Snowhead Small Key,
ItemSnowheadKey2,Snowhead Icicle Room Chest,Snowhead Small Key,Snowhead Temple,Item,Snowhead Icicle Room Chest,Snowhead Small Key,
ItemSnowheadKey3,Snowhead Bridge Room Chest,Snowhead Small Key,Snowhead Temple,Item,Snowhead Bridge Room Chest,Snowhead Small Key,
ItemGreatBayMap,Great Bay Map Chest,Great Bay Map,Great Bay Temple,Item,Great Bay Map Chest,Great Bay Map,
ItemGreatBayCompass,Great Bay Compass Chest,Great Bay Compass,Great Bay Temple,Item,Great Bay Compass Chest,Great Bay Compass,
ItemGreatBayBossKey,Great Bay Boss Key Chest,Great Bay Boss Key,Great Bay Temple,Item,Great Bay Boss Key Chest,Great Bay Boss Key,
ItemGreatBayKey1,Great Bay Small Key Chest,Great Bay Small Key,Great Bay Temple,Item,Great Bay Small Key Chest,Great Bay Small Key,
ItemStoneTowerMap,Stone Tower Map Chest,Stone Tower Map,Stone Tower Temple,Item,Stone Tower Map Chest,Stone Tower Map,
ItemStoneTowerCompass,Stone Tower Compass Chest,Stone Tower Compass,Stone Tower Temple,Item,Stone Tower Compass Chest,Stone Tower Compass,
ItemStoneTowerBossKey,Stone Tower Boss Key Chest,Stone Tower Boss Key,Stone Tower Temple,Item,Stone Tower Boss Key Chest,Stone Tower Boss Key,
ItemStoneTowerKey1,Stone Tower Armor Room Chest,Stone Tower Small Key,Stone Tower Temple,Item,Stone Tower Armor Room Chest,Stone Tower Small Key,
ItemStoneTowerKey2,Stone Tower Eyegore Room Chest,Stone Tower Small Key,Stone Tower Temple,Item,Stone Tower Eyegore Room Chest,Stone Tower Small Key,
ItemStoneTowerKey3,Stone Tower Updraft Room Chest,Stone Tower Small Key,Stone Tower Temple,Item,Stone Tower Updraft Room Chest,Stone Tower Small Key,
ItemStoneTowerKey4,Stone Tower Death Armos Maze Chest,Stone Tower Small Key,Stone Tower Temple,Item,Stone Tower Death Armos Maze Chest,Stone Tower Small Key,
ShopItemTradingPostRedPotion,Trading Post Red Potion,Red Potion,West Clock Town,Item,Trading Post Red Potion,Red Potion,
ShopItemTradingPostGreenPotion,Trading Post Green Potion,Green Potion,West Clock Town,Item,Trading Post Green Potion,Green Potion,
ShopItemTradingPostShield,Trading Post Hero's Shield,Hero's Shield,West Clock Town,Item,Trading Post Hero's Shield,Hero's Shield,
ShopItemTradingPostFairy,Trading Post Fairy,Fairy,West Clock Town,Item,Trading Post Fairy,Fairy,
ShopItemTradingPostStick,Trading Post Deku Stick,Deku Stick,West Clock Town,Item,Trading Post Deku Stick,Deku Stick,
ShopItemTradingPostArrow30,Trading Post 30 Arrows,30 Arrows,West Clock Town,Item,Trading Post 30 Arrows,30 Arrows,
ShopItemTradingPostNut10,Trading Post 10 Deku Nuts,10 Deku Nuts,West Clock Town,Item,Trading Post 10 Deku Nuts,10 Deku Nuts,
ShopItemTradingPostArrow50,Trading Post 50 Arrows,50 Arrows,West Clock Town,Item,Trading Post 50 Arrows,50 Arrows,
ShopItemWitchBluePotion,Witch Shop Blue Potion,Blue Potion,Southern Swamp,Item,Witch Shop Blue Potion,Blue Potion,
ShopItemWitchRedPotion,Witch Shop Red Potion,Red Potion,Southern Swamp,Item,Witch Shop Red Potion,Red Potion,
ShopItemWitchGreenPotion,Witch Shop Green Potion,Green Potion,Southern Swamp,Item,Witch Shop Green Potion,Green Potion,
ShopItemBombsBomb10,Bomb Shop 10 Bombs,10 Bombs,West Clock Town,Item,Bomb Shop 10 Bombs,10 Bombs,
ShopItemBombsBombchu10,Bomb Shop 10 Bombchu,10 Bombchu,West Clock Town,Item,Bomb Shop 10 Bombchu,10 Bombchu,
ShopItemGoronBomb10,Goron Shop 10 Bombs,10 Bombs,Goron Village,Item,Goron Shop 10 Bombs,10 Bombs,
ShopItemGoronArrow10,Goron Shop 10 Arrows,10 Arrows,Goron Village,Item,Goron Shop 10 Arrows,10 Arrows,
ShopItemGoronRedPotion,Goron Shop Red Potion,Red Potion,Goron Village,Item,Goron Shop Red Potion,Red Potion,
ShopItemZoraShield,Zora Shop Hero's Shield,Hero's Shield,Zora Hall,Item,Zora Shop Hero's Shield,Hero's Shield,
ShopItemZoraArrow10,Zora Shop 10 Arrows,10 Arrows,Zora Hall,Item,Zora Shop 10 Arrows,10 Arrows,
ShopItemZoraRedPotion,Zora Shop Red Potion,Red Potion,Zora Hall,Item,Zora Shop Red Potion,Red Potion,
BottleCatchFairy,Bottle: Fairy,Bottle: Fairy,Bottle Catch,Bottle,Bottle: Fairy,Bottle: Fairy,
BottleCatchPrincess,Bottle: Deku Princess,Bottle: Deku Princess,Bottle Catch,Bottle,Bottle: Deku Princess,Bottle: Deku Princess,
BottleCatchFish,Bottle: Fish,Bottle: Fish,Bottle Catch,Bottle,Bottle: Fish,Bottle: Fish,
BottleCatchBug,Bottle: Bug,Bottle: Bug,Bottle Catch,Bottle,Bottle: Bug,Bottle: Bug,
BottleCatchPoe,Bottle: Poe,Bottle: Poe,Bottle Catch,Bottle,Bottle: Poe,Bottle: Poe,
BottleCatchBigPoe,Bottle: Big Poe,Bottle: Big Poe,Bottle Catch,Bottle,Bottle: Big Poe,Bottle: Big Poe,
BottleCatchSpringWater,Bottle: Spring Water,Bottle: Spring Water,Bottle Catch,Bottle,Bottle: Spring Water,Bottle: Spring Water,
BottleCatchHotSpringWater,Bottle: Hot Spring Water,Bottle: Hot Spring Water,Bottle Catch,Bottle,Bottle: Hot Spring Water,Bottle: Hot Spring Water,
BottleCatchEgg,Bottle: Zora Egg,Bottle: Zora Egg,Bottle Catch,Bottle,Bottle: Zora Egg,Bottle: Zora Egg,
BottleCatchMushroom,Bottle: Mushroom,Bottle: Mushroom,Bottle Catch,Bottle,Bottle: Mushroom,Bottle: Mushroom,
ChestLensCaveRedRupee,Lens Cave Invisible Chest,Red Rupee,Goron Village,Item,Lens Cave Invisible Chest,Red Rupee,
ChestLensCavePurpleRupee,Lens Cave Rock Chest,Purple Rupee,Goron Village,Item,Lens Cave Rock Chest,Purple Rupee,
ChestBeanGrottoRedRupee,Bean Grotto,Red Rupee,Deku Palace,Item,Bean Grotto,Red Rupee,
ChestHotSpringGrottoRedRupee,Hot Spring Water Grotto,Red Rupee,Twin Islands,Item,Hot Spring Water Grotto,Red Rupee,
ChestBadBatsGrottoPurpleRupee,Day 1 Grave Bats,Purple Rupee,Ikana Graveyard,Item,Day 1 Grave Bats,Purple Rupee,
ChestIkanaSecretShrineGrotto,Secret Shrine Grotto,5 Bombchu,Ikana Canyon,Item,Secret Shrine Grotto,5 Bombchu,
ChestPiratesFortressRedRupee1,Pirates' Fortress Interior Lower Chest,Red Rupee,Pirates' Fortress Interior,Item,Pirates' Fortress Interior Lower Chest,Red Rupee,
ChestPiratesFortressRedRupee2,Pirates' Fortress Interior Upper Chest,Red Rupee,Pirates' Fortress Interior,Item,Pirates' Fortress Interior Upper Chest,Red Rupee,
ChestInsidePiratesFortressTankRedRupee,Pirates' Fortress Interior Tank Chest,Red Rupee,Pirates' Fortress Interior,Item,Pirates' Fortress Interior Tank Chest,Red Rupee,
ChestInsidePiratesFortressGuardSilverRupee,Pirates' Fortress Interior Guard Room Chest,Silver Rupee,Pirates' Fortress Interior,Item,Pirates' Fortress Interior Guard Room Chest,Silver Rupee,
ChestInsidePiratesFortressHeartPieceRoomRedRupee,Pirates' Fortress Cage Room Shallow Chest,Red Rupee,Pirates' Fortress Sewer,Item,Pirates' Fortress Cage Room Shallow Chest,Red Rupee,
ChestInsidePiratesFortressHeartPieceRoomBlueRupee,Pirates' Fortress Cage Room Deep Chest,Blue Rupee,Pirates' Fortress Sewer,Item,Pirates' Fortress Cage Room Deep Chest,Blue Rupee,
ChestInsidePiratesFortressMazeRedRupee,Pirates' Fortress Maze Chest,Red Rupee,Pirates' Fortress Sewer,Item,Pirates' Fortress Maze Chest,Red Rupee,
ChestPinacleRockRedRupee1,Pinnacle Rock Lower Chest,Red Rupee,Pinnacle Rock,Item,Pinnacle Rock Lower Chest,Red Rupee,
ChestPinacleRockRedRupee2,Pinnacle Rock Upper Chest,Red Rupee,Pinnacle Rock,Item,Pinnacle Rock Upper Chest,Red Rupee,
ChestBomberHideoutSilverRupee,Bombers' Hideout Chest,Silver Rupee,East Clock Town,Item,Bombers' Hideout Chest,Silver Rupee,
ChestTerminaGrottoBombchu,Termina Field Pillar Grotto,Bombchu,Termina Field,Item,Termina Field Pillar Grotto,Bombchu,
ChestTerminaGrottoRedRupee,Termina Field Grass Grotto,Red Rupee,Termina Field,Item,Termina Field Grass Grotto,Red Rupee,
ChestTerminaUnderwaterRedRupee,Termina Field Underwater Chest,Red Rupee,Termina Field,Item,Termina Field Underwater Chest,Red Rupee,
ChestTerminaGrassRedRupee,Termina Field Grass Chest,Red Rupee,Termina Field,Item,Termina Field Grass Chest,Red Rupee,
ChestTerminaStumpRedRupee,Termina Field Stump Chest,Red Rupee,Termina Field,Item,Termina Field Stump Chest,Red Rupee,
ChestGreatBayCoastGrotto,Great Bay Coast Grotto,Red Rupee,Great Bay Coast,Item,Great Bay Coast Grotto,Red Rupee,
ChestGreatBayCapeLedge1,Zora Cape Ledge Without Tree Chest,Red Rupee,Zora Cape,Item,Zora Cape Ledge Without Tree Chest,Red Rupee,
ChestGreatBayCapeLedge2,Zora Cape Ledge With Tree Chest,Red Rupee,Zora Cape,Item,Zora Cape Ledge With Tree Chest,Red Rupee,
ChestGreatBayCapeGrotto,Zora Cape Grotto,Bombchu,Zora Cape,Item,Zora Cape Grotto,Bombchu,
ChestGreatBayCapeUnderwater,Zora Cape Underwater Chest,Purple Rupee,Zora Cape,Item,Zora Cape Underwater Chest,Purple Rupee,
ChestPiratesFortressEntranceRedRupee1,Pirates' Fortress Exterior Log Chest,Red Rupee,Pirates' Fortress Exterior,Item,Pirates' Fortress Exterior Log Chest,Red Rupee,
ChestPiratesFortressEntranceRedRupee2,Pirates' Fortress Exterior Sand Chest,Red Rupee,Pirates' Fortress Exterior,Item,Pirates' Fortress Exterior Sand Chest,Red Rupee,
ChestPiratesFortressEntranceRedRupee3,Pirates' Fortress Exterior Corner Chest,Red Rupee,Pirates' Fortress Exterior,Item,Pirates' Fortress Exterior Corner Chest,Red Rupee,
ChestToSwampGrotto,Path to Swamp Grotto,Red Rupee,Road to Southern Swamp,Item,Path to Swamp Grotto,Red Rupee,
ChestDogRacePurpleRupee,Doggy Racetrack Roof Chest,Purple Rupee,Romani Ranch,Item,Doggy Racetrack Roof Chest,Purple Rupee,
ChestGraveyardGrotto,Ikana Graveyard Grotto,5 Bombchu,Ikana Graveyard,Item,Ikana Graveyard Grotto,5 Bombchu,
ChestSwampGrotto,Near Swamp Spider House Grotto,Red Rupee,Southern Swamp,Item,Near Swamp Spider House Grotto,Red Rupee,
ChestWoodfallBlueRupee,Behind Woodfall Owl Chest,Blue Rupee,Woodfall,Item,Behind Woodfall Owl Chest,Blue Rupee,
ChestWoodfallRedRupee,Entrance to Woodfall Chest,Red Rupee,Woodfall,Item,Entrance to Woodfall Chest,Red Rupee,
ChestWellRightPurpleRupee,Well Right Path Chest,Purple Rupee,Beneath the Well,Item,Well Right Path Chest,Purple Rupee,
ChestWellLeftPurpleRupee,Well Left Path Chest,Purple Rupee,Beneath the Well,Item,Well Left Path Chest,Purple Rupee,
ChestMountainVillage,Mountain Waterfall Chest,Red Rupee,Mountain Village,Item,Mountain Waterfall Chest,Red Rupee,
ChestMountainVillageGrottoRedRupee,Mountain Spring Grotto,Red Rupee,Mountain Village,Item,Mountain Spring Grotto,Red Rupee,
ChestToIkanaRedRupee,Path to Ikana Pillar Chest,Red Rupee,Road to Ikana,Item,Path to Ikana Pillar Chest,Red Rupee,
ChestToIkanaGrotto,Path to Ikana Grotto,Bombchu,Road to Ikana,Item,Path to Ikana Grotto,Bombchu,
ChestInvertedStoneTowerSilverRupee,Inverted Stone Tower Right Chest,Silver Rupee,Stone Tower,Item,Inverted Stone Tower Right Chest,Silver Rupee,
ChestInvertedStoneTowerBombchu10,Inverted Stone Tower Middle Chest,10 Bombchu,Stone Tower,Item,Inverted Stone Tower Middle Chest,10 Bombchu,
ChestInvertedStoneTowerBean,Inverted Stone Tower Left Chest,Magic Bean,Stone Tower,Item,Inverted Stone Tower Left Chest,Magic Bean,
ChestToSnowheadGrotto,Path to Snowhead Grotto,Red Rupee,Path to Snowhead,Item,Path to Snowhead Grotto,Red Rupee,
ChestToGoronVillageRedRupee,Twin Islands Cave Chest,Red Rupee,Twin Islands,Item,Twin Islands Cave Chest,Red Rupee,
ChestSecretShrineHeartPiece,Secret Shrine Final Chest,Piece of Heart,Secret Shrine,Item,Secret Shrine Final Chest,Piece of Heart,
ChestSecretShrineDinoGrotto,Secret Shrine Dinolfos Chest,Silver Rupee,Secret Shrine,Item,Secret Shrine Dinolfos Chest,Silver Rupee,
ChestSecretShrineWizzGrotto,Secret Shrine Wizzrobe Chest,Silver Rupee,Secret Shrine,Item,Secret Shrine Wizzrobe Chest,Silver Rupee,
ChestSecretShrineWartGrotto,Secret Shrine Wart Chest,Silver Rupee,Secret Shrine,Item,Secret Shrine Wart Chest,Silver Rupee,
ChestSecretShrineGaroGrotto,Secret Shrine Garo Master Chest,Silver Rupee,Secret Shrine,Item,Secret Shrine Garo Master Chest,Silver Rupee,
ChestInnStaffRoom,Inn Staff Room Chest,Silver Rupee,Stock Pot Inn,Item,Inn Staff Room Chest,Silver Rupee,
ChestInnGuestRoom,Inn Guest Room Chest,Silver Rupee,Stock Pot Inn,Item,Inn Guest Room Chest,Silver Rupee,
ChestWoodsGrotto,Mystery Woods Grotto,Purple Rupee,Southern Swamp,Item,Mystery Woods Grotto,Purple Rupee,
